char,"[32, 16, 8, 4, 2]","[32, 16, 8, 4]","[32, 16, 8]","[32, 16]",[32]
age,0.00012283608230403718,0.0001868587833609198,0.00022623070530627498,0.0002613979639744037,0.000399652083792608
aliq_at,2.910313895947334e-05,8.597800870283772e-05,0.00016526711859114778,0.00016189922901934645,0.00026477801686076535
aliq_mat,8.235079588637554e-05,0.0001717078766988243,0.00021081413620214475,0.00036236934278478707,0.0004253380407381002
ami_126d,4.782098824792202e-05,6.855218771924544e-05,0.0001209697765230104,0.00010428038814845616,0.00040424609331609273
at_be,7.920379070184057e-05,0.00014324408995738865,0.00022602920439397938,0.00034552233332689697,0.0004761744015444784
at_gr1,4.56328859225063e-05,6.610045852277856e-05,7.912110614620111e-05,0.00014856116814245638,0.00022294056873873927
at_me,5.3595677604978174e-05,7.147107737212307e-05,0.00014750645896954186,0.0002965533997242954,0.00040946720719577275
at_turnover,3.821042820022529e-05,6.79501489639289e-05,0.00017007198194210382,0.0002381830790596008,0.0005239525708058811
be_gr1a,7.066614479205114e-05,0.00011567792568223434,0.00020232941404152357,0.0002559024904314347,0.0002512431696104739
be_me,0.00016591134202501422,0.000253312204105946,0.0003648593194643621,0.0005151560284871819,0.0006556034047738852
beta_60m,0.00015431818224795788,0.00024923900252008294,0.0003756323490954947,0.0006542472762127899,0.0006796852166006002
beta_dimson_21d,4.571714196521605e-05,8.597061796263048e-05,0.00014204902566743017,0.00020547967324697374,0.00027500383223061803
betabab_1260d,5.351468344893605e-05,0.00012628995891511997,0.00018519557886063136,0.000289341900530883,0.000385269970840995
betadown_252d,0.00013345099056046933,0.00017669025584643992,0.00027772826085289753,0.00037174495860185997,0.0004739805868800669
bev_mev,0.0001004131227427859,0.00016713436564403967,0.00021052544065925446,0.00021929883530497679,0.00034645014400816156
bidaskhl_21d,0.0001711359089354751,0.00023566978388495392,0.0003287409916603273,0.0003289593879878689,0.0004742338326425192
capex_abn,1.767070602625715e-05,5.289470237784256e-05,8.274656432074466e-05,0.00011384598538642258,0.0001428960163873991
capx_gr1,6.623388348962522e-05,0.00010494430314287157,0.00016582379278614443,0.00016320524473477819,0.0002620131285483749
capx_gr2,3.0793411728594416e-05,8.536456937933278e-05,0.00012419567666558447,0.00013982699582799308,0.00020776436086098856
capx_gr3,1.4940512127444686e-05,4.147049548791112e-05,7.482390815329941e-05,9.157005485207718e-05,0.00014695231904869946
cash_at,0.0001737781856917728,0.0002491432491855437,0.00039680906495230723,0.0004345905769103618,0.0007245794303384643
chcsho_12m,9.150045035237756e-05,7.035834816526477e-05,0.000137722699892401,0.00013398826515317495,0.0002811139364829906
coa_gr1a,2.1661415330908017e-05,5.17793361272421e-05,9.846560750946511e-05,0.0001527150440591366,0.0002787006320149931
col_gr1a,4.67971414565312e-05,8.214657512949357e-05,0.00013386922355699735,0.00015684359820673723,0.00019757372112069374
cop_at,6.889596941543864e-05,0.00011870298343468537,0.00010576336956775336,0.0002057920436552678,0.00040710863935058457
cop_atl1,9.736137667429448e-05,7.684424010883964e-05,0.00014597620088992186,0.00016468533867693467,0.0003425543250313872
corr_1260d,2.6065408197090402e-05,6.739190854727567e-05,0.00013277688926851248,0.00020646109609063026,0.00027464361074135596
coskew_21d,3.320067544506736e-05,6.150831883623952e-05,0.00010276119397423116,0.0001533707613495,0.00019168691499408383
cowc_gr1a,2.4927135155758324e-05,5.4510009879697834e-05,9.684609647607348e-05,7.703096762308245e-05,0.00017927879123887848
dbnetis_at,1.5772559038083563e-05,4.6344358296482045e-05,8.851688010984045e-05,0.00011148306660647616,0.00022643515122540604
debt_gr3,2.121396564586308e-05,4.7655847682024736e-05,6.721550768515803e-05,8.649110106670856e-05,8.800988964296061e-05
debt_me,2.2562027698658514e-05,5.002001073402901e-05,0.00013023464217071785,0.00019882120741795473,0.00025431765184366005
dgp_dsale,8.24723186970963e-05,9.468927189853356e-05,0.00013750141039155258,0.00017859593268708664,0.00023447071799631678
div12m_me,5.708281717347155e-05,7.762637480845563e-05,8.7229323977428e-05,0.00011338496424820586,0.00030801825848155806
dolvol_126d,5.24241098768828e-05,8.048926035947546e-05,0.0001487226128452276,0.0001975910764500219,0.0004266931989215393
dolvol_var_126d,2.7057297153480213e-05,6.717536854346753e-05,8.907438546274486e-05,0.0001269916214381125,0.0004119203560388863
dsale_dinv,1.6135024272164293e-05,4.1080842767902434e-05,6.5836306604842e-05,8.936816255625387e-05,0.00011864652937496219
dsale_drec,2.764748310793463e-05,5.4333497156773956e-05,8.865487636842131e-05,0.0001143054916434889,0.00011955525249150275
dsale_dsga,3.640652623667515e-05,7.3241911701044e-05,0.0001083143576147464,0.00014595920179919262,0.0001848700628069474
earnings_variability,8.012210652617935e-06,2.9110016259475937e-05,4.700752733523735e-05,7.230118729242262e-05,8.79470099431476e-05
ebit_bev,8.371489913234916e-05,0.00013614630137471763,0.00023991831983070369,0.00030289665741382106,0.0005076979410579969
ebit_sale,7.42160883899451e-05,7.375568321634559e-05,0.0001978358214677437,0.0002734875611706903,0.00030987853697679927
ebitda_mev,0.00014454626170691087,0.0002105583152498153,0.0002535928166757661,0.0002840632843580004,0.00029988369337222143
emp_gr1,1.9166701772501736e-05,6.5710242204984e-05,7.623104704479194e-05,0.00013330072606212865,0.0001620199079181072
eq_dur,6.493502168813314e-05,0.00011005659021111653,0.00014897382096616663,0.00020773057060798425,0.00026179279806634907
eqnetis_at,4.534691084423096e-05,9.209605553588262e-05,0.00011079521798428278,0.00013770075267496233,0.00014000535180184968
eqnpo_12m,1.141317328044549e-05,4.898639729287281e-05,9.275149476612355e-05,0.00015529518249741438,0.000293703313467848
eqnpo_me,3.848147449494843e-05,0.00010205075321996857,0.000185702090507797,0.0002472946496328407,0.0004235891847155964
eqpo_me,2.353975548191745e-05,6.309871481956614e-05,8.821874645795276e-05,0.00010678025665246872,0.00011736197987348822
f_score,2.6168155270210214e-06,4.0857832697115245e-05,9.266497606905836e-05,0.00010344285023937611,0.00018493014729612436
fcf_me,9.789281485692962e-05,5.8852155167639796e-05,0.0001774441164839313,0.00022384365903284673,0.00033688717481026697
fnl_gr1a,3.1017992830832587e-05,3.995700585104917e-05,0.00010331936774017222,0.0001284797993704163,0.000222756215092502
gp_at,8.098571199682284e-05,0.00012732963857069258,0.00020606409044126743,0.0002895842178186708,0.0005933345289266375
gp_atl1,9.329381817987002e-06,5.538953331401499e-05,9.524498991302885e-05,0.0001747073297886451,0.0004841018709652502
ival_me,2.0255319938317835e-05,5.024049406759577e-05,7.738291544440946e-05,0.00011609522682631764,0.00016925599409696267
inv_gr1,7.326232530350795e-06,4.5823946781971804e-05,8.150436896168917e-05,9.642538904873593e-05,0.00011620386400414996
inv_gr1a,3.9238506379021837e-05,5.7150314842054906e-05,0.00010404453009533455,0.00015419679825315525,0.0002210445092085109
iskew_capm_21d,3.0535385186531385e-05,6.912798251290666e-05,0.00011912189738929695,0.000167555134505793,0.0002053610551149233
iskew_ff3_21d,3.0370350995718214e-05,7.197298457380062e-05,0.00011425704353970578,0.00015185096712136873,0.0001953694363664877
iskew_hxz4_21d,1.8052033335638292e-05,4.161914703577011e-05,8.097558479415274e-05,0.00011548117458675512,0.0001317267695062657
ivol_capm_21d,8.315505658601846e-05,0.00020391663899158925,0.00020742659324892435,0.0002608315220881087,0.0007655174230034448
ivol_capm_252d,7.648064742250313e-05,0.00014462149022369199,0.0002348601081737702,0.0003188893336845745,0.0005384667562058098
ivol_ff3_21d,9.517155514497585e-05,0.00013779965166844617,0.0002428088726972499,0.0003000040796501547,0.0010157028627432053
ivol_hxz4_21d,3.931858219028262e-05,9.486553226364788e-05,0.00015823470950046843,0.0003329608520214808,0.0008251985152107809
kz_index,4.831155564359838e-05,8.687252919804386e-05,0.00011912403222651157,0.00023125569726168183,0.0002572093661475105
lnoa_gr1a,4.272008621920064e-05,7.191609258049243e-05,8.676748790562522e-05,0.00016244335275634382,0.0003342693808741949
lti_gr1a,6.617997220114042e-06,2.27356105956861e-05,2.754527195943117e-05,3.237982835330073e-05,5.1581222680116635e-05
market_equity,8.766908367882569e-05,0.00013532996781070726,0.00018611559762303801,0.0002798903889054694,0.0005229226892733591
mispricing_mgmt,2.9321065890420333e-05,7.384506829622051e-05,0.0001758530345738663,0.00014755126549897512,0.00023178329425343106
mispricing_perf,2.1500055154456673e-05,8.391321457193069e-05,0.00016272961274855474,0.00021619428501185782,0.0007493527236677581
ncoa_gr1a,1.8578151601077433e-05,5.690627823363361e-05,9.135807639546344e-05,0.00014805425127217101,0.00027240252217027207
ncol_gr1a,1.5996791621767467e-05,5.029776040035135e-05,7.400158208696463e-05,0.00012038243246444864,0.00010406184758894274
netdebt_me,0.000107649980422398,0.00018847221530541295,0.00023891252649249511,0.00045946340038013434,0.0005401698348232695
netis_at,3.793240783356323e-05,5.534575759396252e-05,0.00011675356517079577,0.00019377764700316232,0.0003400926363599565
nfna_gr1a,9.900183544064982e-06,4.587895222037362e-05,7.673103073584396e-05,0.00010542632032141196,0.0001834723838545149
ni_ar1,1.134918955875846e-05,3.0379697131064977e-05,4.6212827997730164e-05,6.927606446347855e-05,0.00010039171985169034
ni_be,-4.151035892382046e-07,6.059666477787447e-05,6.227503796593046e-05,0.00016422497554628937,0.00040465176741775224
ni_inc8q,1.8111796096758028e-05,3.828489073033251e-05,6.910763422758988e-05,0.00012639212698735668,0.000160892906820162
ni_ivol,1.7977220237820264e-05,5.627663507750683e-05,0.00014039463162448612,0.00011423893848542856,0.00019667608914127868
ni_me,5.0959553126849375e-05,7.667020412585405e-05,0.00019880576371287,0.0003676897081095869,0.000661948657894478
niq_at,0.0001033015512149858,0.00016910680442797896,0.00018777001046084332,0.00018532884652517161,0.00048462289896226697
niq_at_chg1,4.158012504033782e-05,6.0941257025940114e-05,0.0001242124573340243,0.00016112848399744617,0.00019315561046550364
niq_be,0.00011165160595383638,7.239257637176135e-05,0.00016669989498849634,0.00020341996948251812,0.00027203792271242896
niq_be_chg1,3.55257252304275e-05,6.705511645723502e-05,0.00011450819596452493,0.00012811306647612586,0.0001644208720559452
niq_su,2.424197715562955e-05,4.714192930543546e-05,8.985913268589302e-05,0.00010126462500958441,0.00014300776850861222
nncoa_gr1a,2.8455967551388948e-05,4.8199146928528376e-05,9.758734769962015e-05,7.856022437787076e-05,0.00019735881972734483
noa_at,0.00010565035719184237,0.00017441907356962602,0.00031082645645923103,0.00035117437406794686,0.00044966669572215495
noa_gr1a,6.760436122610277e-05,5.6920152124101765e-05,7.518266458914614e-05,0.00013008519865334868,0.00021293660973926613
o_score,4.983683067679359e-05,0.00010524121781111389,0.00016666762731510837,0.000265653132597599,0.0002795176211321494
oaccruals_at,2.721842788769712e-05,8.701751844673191e-05,0.0001531312750424708,0.00018490737660937929,0.0002352796752190873
oaccruals_ni,2.4521246152223734e-05,5.2599912347477815e-05,9.965360206099544e-05,0.00013576305747326024,0.0002367166957176135
ocf_at,6.872093866447015e-05,0.00010556457220687599,0.00023421706591639525,0.0002707831024681017,0.0004401369121965536
ocf_at_chg1,2.532650375306034e-05,5.3266766059044996e-05,9.409407841155929e-05,0.00010318404330571201,0.00016547715605960431
ocf_me,0.00011173390931847597,0.0001653760583176638,0.00020077596799775366,0.0002524248544372597,0.00041883607731283654
ocfq_saleq_std,2.5915263092790543e-05,5.544406603886435e-05,8.174557962356496e-05,8.09573096080941e-05,0.00014724836503425312
op_at,0.0001800683995375002,0.00018549817079032124,0.00029899026536948096,0.0003179082274194701,0.0004762161784186824
op_atl1,9.962721248098683e-05,0.00011352252397191393,0.00016539324879192736,0.0002192341108807126,0.00042658865911183617
ope_be,1.0731563030589195e-05,4.400392776822648e-05,8.900817890910339e-05,0.00015278498134917385,0.0002344135131826478
ope_bel1,1.15739335834298e-05,4.364289053422392e-05,7.625390824482192e-05,0.00015661228224337923,0.0002671638628426537
opex_at,6.590358174336935e-05,8.88155749821554e-05,0.0001674823682323648,0.00022219480790674876,0.0005388740283632896
pi_nix,1.7518003344633006e-05,3.8421091485526915e-05,4.06359489581344e-05,5.2496131001900625e-05,8.189428150862236e-05
ppeinv_gr1a,5.6989340258662716e-05,7.34020421219575e-05,0.00011732153248119367,0.00017419980992851425,0.000254495789832556
prc,0.00018417885204478294,0.0004637012861205529,0.0007659163337306834,0.001329991605133315,0.0017875978422400571
prc_highprc_252d,0.000697141291215996,0.0008460937472295428,0.0010484429690186471,0.0011915051060739994,0.0012645322885133097
qmj,7.647484669480168e-06,3.169166308638048e-05,4.776966919259992e-05,0.00012544230191738028,0.00028645499867598664
