model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.75,-0.70,8.83,-0.28
NN1,univariate,2,-0.92,0.32,6.93,0.16
NN1,univariate,3,-0.23,0.58,5.88,0.34
NN1,univariate,4,0.23,0.70,5.37,0.45
NN1,univariate,5,0.60,0.80,5.05,0.55
NN1,univariate,6,0.94,1.00,5.08,0.68
NN1,univariate,7,1.30,1.13,5.07,0.77
NN1,univariate,8,1.71,1.29,5.23,0.85
NN1,univariate,9,2.29,1.48,5.70,0.90
NN1,univariate,High(H),3.73,1.96,6.75,1.00
NN1,univariate,H-L,6.48,2.66,4.56,2.02
NN1,independent,Low(L),-2.53,-0.62,6.85,-0.31
NN1,independent,2,-0.91,0.28,6.05,0.16
NN1,independent,3,-0.23,0.62,5.97,0.36
NN1,independent,4,0.23,0.77,5.89,0.45
NN1,independent,5,0.60,0.86,5.74,0.52
NN1,independent,6,0.94,1.15,5.85,0.68
NN1,independent,7,1.30,1.25,5.80,0.74
NN1,independent,8,1.71,1.40,5.80,0.84
NN1,independent,9,2.29,1.53,5.92,0.89
NN1,independent,High(H),3.63,1.81,6.11,1.03
NN1,independent,H-L,6.16,2.44,3.42,2.47
NN1,dependent,Low(L),-2.34,-0.54,6.25,-0.30
NN1,dependent,2,-0.95,0.17,5.98,0.10
NN1,dependent,3,-0.33,0.36,5.80,0.21
NN1,dependent,4,0.13,0.72,5.97,0.42
NN1,dependent,5,0.52,0.85,5.80,0.51
NN1,dependent,6,0.90,1.04,5.80,0.62
NN1,dependent,7,1.28,1.22,5.82,0.73
NN1,dependent,8,1.72,1.39,5.77,0.84
NN1,dependent,9,2.30,1.56,5.88,0.92
NN1,dependent,High(H),3.58,1.75,6.03,1.01
NN1,dependent,H-L,5.92,2.30,2.71,2.94
NN2,univariate,Low(L),-2.30,-0.72,9.14,-0.27
NN2,univariate,2,-0.62,0.29,7.12,0.14
NN2,univariate,3,-0.00,0.63,6.03,0.36
NN2,univariate,4,0.37,0.77,5.29,0.51
NN2,univariate,5,0.65,0.85,4.95,0.59
NN2,univariate,6,0.91,1.03,4.82,0.74
NN2,univariate,7,1.17,1.04,4.91,0.74
NN2,univariate,8,1.49,1.28,5.23,0.85
NN2,univariate,9,1.95,1.46,5.68,0.89
NN2,univariate,High(H),3.21,1.91,6.94,0.95
NN2,univariate,H-L,5.51,2.62,4.86,1.87
NN2,independent,Low(L),-2.13,-0.64,7.29,-0.31
NN2,independent,2,-0.61,0.20,6.08,0.11
NN2,independent,3,-0.00,0.65,6.01,0.38
NN2,independent,4,0.37,0.86,5.92,0.50
NN2,independent,5,0.65,0.98,5.80,0.59
NN2,independent,6,0.91,1.17,5.76,0.71
NN2,independent,7,1.17,1.16,5.74,0.70
NN2,independent,8,1.49,1.45,5.85,0.86
NN2,independent,9,1.94,1.52,5.87,0.90
NN2,independent,High(H),3.10,1.77,6.22,0.98
NN2,independent,H-L,5.23,2.43,3.81,2.21
NN2,dependent,Low(L),-1.86,-0.55,6.36,-0.30
NN2,dependent,2,-0.63,0.14,5.97,0.08
NN2,dependent,3,-0.11,0.43,5.83,0.26
NN2,dependent,4,0.26,0.73,5.96,0.42
NN2,dependent,5,0.57,0.88,5.88,0.52
NN2,dependent,6,0.86,1.06,5.71,0.64
NN2,dependent,7,1.16,1.22,5.79,0.73
NN2,dependent,8,1.51,1.36,5.78,0.82
NN2,dependent,9,1.97,1.52,5.75,0.91
NN2,dependent,High(H),3.06,1.73,6.16,0.97
NN2,dependent,H-L,4.92,2.28,2.87,2.75
NN3,univariate,Low(L),-1.88,-0.58,9.14,-0.22
NN3,univariate,2,-0.40,0.33,7.29,0.16
NN3,univariate,3,0.16,0.67,6.11,0.38
NN3,univariate,4,0.49,0.73,5.33,0.48
NN3,univariate,5,0.72,0.85,4.95,0.59
NN3,univariate,6,0.92,0.98,4.82,0.70
NN3,univariate,7,1.13,1.10,4.92,0.78
NN3,univariate,8,1.37,1.26,5.21,0.84
NN3,univariate,9,1.72,1.40,5.65,0.86
NN3,univariate,High(H),2.65,1.80,6.81,0.92
NN3,univariate,H-L,4.53,2.38,5.01,1.65
NN3,independent,Low(L),-1.73,-0.53,7.35,-0.25
NN3,independent,2,-0.39,0.22,6.18,0.12
NN3,independent,3,0.16,0.66,5.93,0.39
NN3,independent,4,0.49,0.86,5.95,0.50
NN3,independent,5,0.72,0.95,5.87,0.56
NN3,independent,6,0.92,1.04,5.71,0.63
NN3,independent,7,1.13,1.33,5.87,0.78
NN3,independent,8,1.37,1.46,5.98,0.84
NN3,independent,9,1.72,1.46,5.85,0.87
NN3,independent,High(H),2.57,1.67,6.23,0.93
NN3,independent,H-L,4.30,2.20,3.91,1.95
NN3,dependent,Low(L),-1.49,-0.49,6.41,-0.26
NN3,dependent,2,-0.38,0.24,6.03,0.14
NN3,dependent,3,0.06,0.44,5.86,0.26
NN3,dependent,4,0.38,0.75,5.90,0.44
NN3,dependent,5,0.64,0.85,5.74,0.51
NN3,dependent,6,0.88,1.06,5.83,0.63
NN3,dependent,7,1.11,1.21,5.81,0.72
NN3,dependent,8,1.38,1.32,5.78,0.79
NN3,dependent,9,1.73,1.49,5.81,0.89
NN3,dependent,High(H),2.52,1.67,6.06,0.95
NN3,dependent,H-L,4.01,2.15,2.94,2.54
NN4,univariate,Low(L),-1.47,-0.52,9.02,-0.20
NN4,univariate,2,-0.31,0.32,7.21,0.16
NN4,univariate,3,0.17,0.63,6.14,0.35
NN4,univariate,4,0.45,0.76,5.28,0.50
NN4,univariate,5,0.66,0.87,5.08,0.59
NN4,univariate,6,0.84,0.98,4.97,0.68
NN4,univariate,7,1.03,1.13,5.02,0.78
NN4,univariate,8,1.25,1.22,5.25,0.81
NN4,univariate,9,1.57,1.46,5.66,0.89
NN4,univariate,High(H),2.40,1.70,6.62,0.89
NN4,univariate,H-L,3.87,2.23,5.06,1.52
NN4,independent,Low(L),-1.37,-0.56,7.10,-0.27
NN4,independent,2,-0.30,0.26,6.17,0.14
NN4,independent,3,0.17,0.63,6.00,0.36
NN4,independent,4,0.45,0.88,5.91,0.51
NN4,independent,5,0.66,1.04,6.16,0.59
NN4,independent,6,0.84,1.19,5.89,0.70
NN4,independent,7,1.03,1.29,5.86,0.76
NN4,independent,8,1.25,1.32,5.86,0.78
NN4,independent,9,1.57,1.53,5.92,0.89
NN4,independent,High(H),2.33,1.57,6.04,0.90
NN4,independent,H-L,3.70,2.13,3.82,1.94
NN4,dependent,Low(L),-1.14,-0.41,6.32,-0.23
NN4,dependent,2,-0.28,0.17,5.99,0.10
NN4,dependent,3,0.09,0.54,5.91,0.32
NN4,dependent,4,0.36,0.64,5.81,0.38
NN4,dependent,5,0.59,0.91,5.95,0.53
NN4,dependent,6,0.80,1.05,5.81,0.63
NN4,dependent,7,1.02,1.24,5.85,0.73
NN4,dependent,8,1.26,1.33,5.87,0.79
NN4,dependent,9,1.57,1.47,5.79,0.88
NN4,dependent,High(H),2.28,1.59,5.94,0.93
NN4,dependent,H-L,3.42,2.01,2.91,2.39
NN5,univariate,Low(L),-1.03,-0.54,8.99,-0.21
NN5,univariate,2,-0.13,0.33,7.15,0.16
NN5,univariate,3,0.23,0.67,6.25,0.37
NN5,univariate,4,0.45,0.83,5.49,0.52
NN5,univariate,5,0.62,0.98,5.20,0.65
NN5,univariate,6,0.77,0.97,5.05,0.67
NN5,univariate,7,0.92,1.06,5.07,0.72
NN5,univariate,8,1.10,1.16,5.26,0.77
NN5,univariate,9,1.33,1.38,5.35,0.89
NN5,univariate,High(H),1.86,1.71,6.41,0.92
NN5,univariate,H-L,2.89,2.25,5.10,1.53
NN5,independent,Low(L),-0.95,-0.52,7.18,-0.25
NN5,independent,2,-0.12,0.25,6.07,0.14
NN5,independent,3,0.23,0.69,6.02,0.39
NN5,independent,4,0.45,0.90,5.88,0.53
NN5,independent,5,0.62,1.08,5.92,0.63
NN5,independent,6,0.77,1.08,5.86,0.64
NN5,independent,7,0.92,1.15,5.84,0.68
NN5,independent,8,1.10,1.28,5.96,0.74
NN5,independent,9,1.33,1.49,5.80,0.89
NN5,independent,High(H),1.83,1.70,6.04,0.98
NN5,independent,H-L,2.78,2.22,3.86,1.99
NN5,dependent,Low(L),-0.79,-0.51,6.33,-0.28
NN5,dependent,2,-0.11,0.27,5.96,0.16
NN5,dependent,3,0.18,0.49,5.94,0.28
NN5,dependent,4,0.40,0.75,5.76,0.45
NN5,dependent,5,0.58,0.91,5.87,0.54
NN5,dependent,6,0.74,1.02,5.88,0.60
NN5,dependent,7,0.91,1.23,5.74,0.74
NN5,dependent,8,1.09,1.27,5.93,0.74
NN5,dependent,9,1.32,1.44,5.79,0.86
NN5,dependent,High(H),1.79,1.66,5.95,0.97
NN5,dependent,H-L,2.59,2.17,2.92,2.58
