model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.37,-0.21,9.12,-0.08
NN1,univariate,2,-0.87,0.19,6.57,0.10
NN1,univariate,3,-0.21,0.33,5.12,0.23
NN1,univariate,4,0.23,0.43,4.45,0.34
NN1,univariate,5,0.60,0.66,4.35,0.53
NN1,univariate,6,0.94,0.71,4.35,0.56
NN1,univariate,7,1.29,0.78,4.32,0.63
NN1,univariate,8,1.70,1.02,4.81,0.73
NN1,univariate,9,2.26,1.02,5.15,0.69
NN1,univariate,High(H),3.39,1.17,6.50,0.62
NN1,univariate,H-L,5.76,1.38,5.62,0.85
NN1,independent,Low(L),-2.35,-0.06,8.21,-0.03
NN1,independent,2,-0.89,0.20,7.16,0.10
NN1,independent,3,-0.23,0.44,6.78,0.22
NN1,independent,4,0.23,0.42,6.69,0.22
NN1,independent,5,0.60,0.72,6.88,0.36
NN1,independent,6,0.94,0.92,6.92,0.46
NN1,independent,7,1.30,0.95,6.59,0.50
NN1,independent,8,1.71,1.10,6.76,0.57
NN1,independent,9,2.27,1.21,6.62,0.63
NN1,independent,High(H),3.46,1.38,6.78,0.71
NN1,independent,H-L,5.81,1.45,4.24,1.19
NN1,dependent,Low(L),-2.16,-0.10,7.47,-0.05
NN1,dependent,2,-0.93,0.22,7.04,0.11
NN1,dependent,3,-0.33,0.24,6.89,0.12
NN1,dependent,4,0.13,0.44,6.84,0.22
NN1,dependent,5,0.52,0.61,6.63,0.32
NN1,dependent,6,0.90,0.82,6.76,0.42
NN1,dependent,7,1.28,0.89,6.79,0.45
NN1,dependent,8,1.72,1.14,6.68,0.59
NN1,dependent,9,2.29,1.23,6.79,0.63
NN1,dependent,High(H),3.42,1.19,6.62,0.62
NN1,dependent,H-L,5.57,1.29,3.43,1.31
NN2,univariate,Low(L),-1.98,-0.16,9.96,-0.06
NN2,univariate,2,-0.56,0.33,7.01,0.17
NN2,univariate,3,0.02,0.37,5.22,0.25
NN2,univariate,4,0.37,0.53,4.47,0.41
NN2,univariate,5,0.65,0.62,4.44,0.48
NN2,univariate,6,0.91,0.81,4.42,0.64
NN2,univariate,7,1.17,0.75,4.30,0.61
NN2,univariate,8,1.48,0.83,4.71,0.61
NN2,univariate,9,1.91,0.97,5.26,0.64
