model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.75,-0.70,8.83,-0.28
NN1,univariate,2,-0.92,0.32,6.93,0.16
NN1,univariate,3,-0.23,0.58,5.88,0.34
NN1,univariate,4,0.23,0.70,5.37,0.45
NN1,univariate,5,0.60,0.80,5.05,0.55
NN1,univariate,6,0.94,1.00,5.08,0.68
NN1,univariate,7,1.30,1.13,5.07,0.77
NN1,univariate,8,1.71,1.29,5.23,0.85
NN1,univariate,9,2.29,1.48,5.70,0.90
NN1,univariate,High(H),3.73,1.96,6.75,1.00
NN1,univariate,H-L,6.48,2.66,4.56,2.02
NN1,independent,Low(L),-2.54,0.30,6.98,0.15
NN1,independent,2,-0.91,0.50,6.12,0.28
NN1,independent,3,-0.23,0.56,5.98,0.33
NN1,independent,4,0.23,0.60,5.90,0.36
NN1,independent,5,0.60,0.59,5.74,0.36
NN1,independent,6,0.94,0.84,5.81,0.50
NN1,independent,7,1.30,1.00,5.77,0.60
NN1,independent,8,1.71,1.16,5.83,0.69
NN1,independent,9,2.29,1.40,5.91,0.82
NN1,independent,High(H),3.64,2.02,6.17,1.13
NN1,independent,H-L,6.18,1.72,3.44,1.74
NN1,dependent,Low(L),-2.34,0.16,6.30,0.09
NN1,dependent,2,-0.94,0.39,5.99,0.23
NN1,dependent,3,-0.33,0.41,5.86,0.24
NN1,dependent,4,0.13,0.57,5.90,0.34
NN1,dependent,5,0.52,0.67,5.78,0.40
NN1,dependent,6,0.90,0.82,5.80,0.49
NN1,dependent,7,1.28,0.91,5.80,0.54
NN1,dependent,8,1.72,1.16,5.78,0.69
NN1,dependent,9,2.30,1.47,5.81,0.88
NN1,dependent,High(H),3.59,1.95,6.06,1.11
NN1,dependent,H-L,5.93,1.79,2.79,2.21
NN2,univariate,Low(L),-2.30,-0.72,9.14,-0.27
NN2,univariate,2,-0.62,0.29,7.12,0.14
NN2,univariate,3,-0.00,0.63,6.03,0.36
NN2,univariate,4,0.37,0.77,5.29,0.51
NN2,univariate,5,0.65,0.85,4.95,0.59
NN2,univariate,6,0.91,1.03,4.82,0.74
NN2,univariate,7,1.17,1.04,4.91,0.74
NN2,univariate,8,1.49,1.28,5.23,0.85
NN2,univariate,9,1.95,1.46,5.68,0.89
NN2,univariate,High(H),3.21,1.91,6.94,0.95
NN2,univariate,H-L,5.51,2.62,4.86,1.87
NN2,independent,Low(L),-2.13,0.30,7.31,0.14
NN2,independent,2,-0.61,0.48,6.08,0.28
NN2,independent,3,-0.00,0.61,6.03,0.35
NN2,independent,4,0.37,0.66,5.94,0.38
NN2,independent,5,0.65,0.67,5.78,0.40
NN2,independent,6,0.91,0.80,5.71,0.49
NN2,independent,7,1.17,0.82,5.74,0.49
NN2,independent,8,1.49,1.12,5.84,0.67
NN2,independent,9,1.94,1.34,5.88,0.79
NN2,independent,High(H),3.11,2.04,6.31,1.12
NN2,independent,H-L,5.25,1.73,3.75,1.60
NN2,dependent,Low(L),-1.86,0.24,6.38,0.13
NN2,dependent,2,-0.62,0.43,5.99,0.25
NN2,dependent,3,-0.11,0.43,5.77,0.26
NN2,dependent,4,0.26,0.62,5.98,0.36
NN2,dependent,5,0.57,0.68,5.88,0.40
NN2,dependent,6,0.86,0.76,5.69,0.46
NN2,dependent,7,1.16,0.95,5.75,0.57
NN2,dependent,8,1.50,1.10,5.83,0.65
NN2,dependent,9,1.96,1.33,5.72,0.81
NN2,dependent,High(H),3.06,1.99,6.18,1.12
NN2,dependent,H-L,4.92,1.76,2.90,2.10
NN3,univariate,Low(L),-1.88,-0.58,9.14,-0.22
NN3,univariate,2,-0.40,0.33,7.29,0.16
NN3,univariate,3,0.16,0.67,6.11,0.38
NN3,univariate,4,0.49,0.73,5.33,0.48
NN3,univariate,5,0.72,0.85,4.95,0.59
NN3,univariate,6,0.92,0.98,4.82,0.70
NN3,univariate,7,1.13,1.10,4.92,0.78
NN3,univariate,8,1.37,1.26,5.21,0.84
NN3,univariate,9,1.72,1.40,5.65,0.86
NN3,univariate,High(H),2.65,1.80,6.81,0.92
NN3,univariate,H-L,4.53,2.38,5.01,1.65
NN3,independent,Low(L),-1.74,0.43,7.29,0.21
NN3,independent,2,-0.39,0.56,6.19,0.31
NN3,independent,3,0.16,0.66,5.94,0.39
NN3,independent,4,0.49,0.61,5.93,0.36
NN3,independent,5,0.72,0.60,5.86,0.36
NN3,independent,6,0.92,0.66,5.70,0.40
NN3,independent,7,1.13,0.94,5.88,0.55
NN3,independent,8,1.37,1.12,5.93,0.65
NN3,independent,9,1.72,1.28,5.87,0.75
NN3,independent,High(H),2.58,1.94,6.26,1.07
NN3,independent,H-L,4.32,1.50,3.75,1.39
NN3,dependent,Low(L),-1.48,0.24,6.39,0.13
NN3,dependent,2,-0.38,0.60,6.08,0.34
NN3,dependent,3,0.06,0.54,5.83,0.32
NN3,dependent,4,0.38,0.60,5.87,0.36
NN3,dependent,5,0.64,0.65,5.78,0.39
NN3,dependent,6,0.87,0.74,5.84,0.44
NN3,dependent,7,1.11,0.91,5.78,0.54
NN3,dependent,8,1.38,1.03,5.75,0.62
NN3,dependent,9,1.73,1.31,5.85,0.78
NN3,dependent,High(H),2.53,1.91,6.06,1.09
NN3,dependent,H-L,4.01,1.67,2.95,1.97
NN4,univariate,Low(L),-1.47,-0.52,9.02,-0.20
NN4,univariate,2,-0.31,0.32,7.21,0.16
NN4,univariate,3,0.17,0.63,6.14,0.35
NN4,univariate,4,0.45,0.76,5.28,0.50
NN4,univariate,5,0.66,0.87,5.08,0.59
NN4,univariate,6,0.84,0.98,4.97,0.68
NN4,univariate,7,1.03,1.13,5.02,0.78
NN4,univariate,8,1.25,1.22,5.25,0.81
NN4,univariate,9,1.57,1.46,5.66,0.89
NN4,univariate,High(H),2.40,1.70,6.62,0.89
NN4,univariate,H-L,3.87,2.23,5.06,1.52
NN4,independent,Low(L),-1.38,0.40,7.11,0.20
NN4,independent,2,-0.30,0.63,6.22,0.35
NN4,independent,3,0.17,0.60,5.98,0.35
NN4,independent,4,0.45,0.67,5.89,0.39
NN4,independent,5,0.66,0.73,6.19,0.41
NN4,independent,6,0.84,0.84,5.90,0.49
NN4,independent,7,1.03,0.88,5.85,0.52
NN4,independent,8,1.25,1.01,5.81,0.60
NN4,independent,9,1.57,1.39,5.94,0.81
NN4,independent,High(H),2.34,1.86,6.12,1.05
NN4,independent,H-L,3.71,1.45,3.79,1.33
NN4,dependent,Low(L),-1.14,0.29,6.36,0.16
NN4,dependent,2,-0.28,0.54,5.98,0.31
NN4,dependent,3,0.09,0.54,5.85,0.32
NN4,dependent,4,0.36,0.57,5.77,0.34
NN4,dependent,5,0.59,0.66,5.94,0.38
NN4,dependent,6,0.80,0.79,5.80,0.47
NN4,dependent,7,1.01,0.96,5.92,0.56
NN4,dependent,8,1.26,1.09,5.82,0.65
NN4,dependent,9,1.57,1.26,5.83,0.75
NN4,dependent,High(H),2.28,1.83,5.97,1.06
NN4,dependent,H-L,3.42,1.54,2.91,1.83
NN5,univariate,Low(L),-1.03,-0.54,8.99,-0.21
NN5,univariate,2,-0.13,0.33,7.15,0.16
NN5,univariate,3,0.23,0.67,6.25,0.37
NN5,univariate,4,0.45,0.83,5.49,0.52
NN5,univariate,5,0.62,0.98,5.20,0.65
NN5,univariate,6,0.77,0.97,5.05,0.67
NN5,univariate,7,0.92,1.06,5.07,0.72
NN5,univariate,8,1.10,1.16,5.26,0.77
NN5,univariate,9,1.33,1.38,5.35,0.89
NN5,univariate,High(H),1.86,1.71,6.41,0.92
NN5,univariate,H-L,2.89,2.25,5.10,1.53
NN5,independent,Low(L),-0.95,0.32,7.10,0.15
NN5,independent,2,-0.12,0.56,6.08,0.32
NN5,independent,3,0.23,0.68,6.01,0.39
NN5,independent,4,0.45,0.74,5.92,0.43
NN5,independent,5,0.62,0.82,5.92,0.48
NN5,independent,6,0.77,0.79,5.87,0.47
NN5,independent,7,0.92,0.84,5.84,0.50
NN5,independent,8,1.10,0.95,5.96,0.55
NN5,independent,9,1.33,1.24,5.79,0.74
NN5,independent,High(H),1.83,1.80,6.11,1.02
NN5,independent,H-L,2.78,1.48,3.80,1.35
NN5,dependent,Low(L),-0.79,0.19,6.33,0.10
NN5,dependent,2,-0.11,0.62,6.03,0.36
NN5,dependent,3,0.19,0.55,5.84,0.33
NN5,dependent,4,0.40,0.70,5.85,0.41
NN5,dependent,5,0.58,0.74,5.79,0.44
NN5,dependent,6,0.74,0.81,5.86,0.48
NN5,dependent,7,0.91,0.95,5.80,0.56
NN5,dependent,8,1.09,1.04,5.90,0.61
NN5,dependent,9,1.32,1.20,5.82,0.71
NN5,dependent,High(H),1.80,1.73,5.96,1.01
NN5,dependent,H-L,2.59,1.54,2.90,1.84
