model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.37,-0.21,9.12,-0.08
NN1,univariate,2,-0.87,0.19,6.57,0.10
NN1,univariate,3,-0.21,0.33,5.12,0.23
NN1,univariate,4,0.23,0.43,4.45,0.34
NN1,univariate,5,0.60,0.66,4.35,0.53
NN1,univariate,6,0.94,0.71,4.35,0.56
NN1,univariate,7,1.29,0.78,4.32,0.63
NN1,univariate,8,1.70,1.02,4.81,0.73
NN1,univariate,9,2.26,1.02,5.15,0.69
NN1,univariate,High(H),3.39,1.17,6.50,0.62
NN1,univariate,H-L,5.76,1.38,5.62,0.85
NN1,independent,Low(L),-2.35,0.36,8.11,0.15
NN1,independent,2,-0.89,-0.06,7.16,-0.03
NN1,independent,3,-0.22,-0.20,6.67,-0.10
NN1,independent,4,0.23,-0.30,6.63,-0.16
NN1,independent,5,0.60,-0.15,6.68,-0.08
NN1,independent,6,0.94,-0.10,6.65,-0.05
NN1,independent,7,1.30,-0.03,6.40,-0.01
NN1,independent,8,1.71,0.24,6.68,0.12
NN1,independent,9,2.27,0.39,6.49,0.21
NN1,independent,High(H),3.46,1.09,6.77,0.56
NN1,independent,H-L,5.81,0.73,4.18,0.61
NN1,dependent,Low(L),-2.15,0.15,7.22,0.07
NN1,dependent,2,-0.93,-0.03,6.97,-0.01
NN1,dependent,3,-0.33,-0.31,6.72,-0.16
NN1,dependent,4,0.13,-0.32,6.70,-0.17
NN1,dependent,5,0.52,-0.19,6.64,-0.10
NN1,dependent,6,0.90,-0.06,6.53,-0.03
NN1,dependent,7,1.28,0.07,6.62,0.03
NN1,dependent,8,1.72,0.19,6.66,0.10
NN1,dependent,9,2.29,0.54,6.46,0.29
NN1,dependent,High(H),3.41,1.00,6.66,0.52
NN1,dependent,H-L,5.56,0.85,3.39,0.87
NN2,univariate,Low(L),-1.98,-0.16,9.96,-0.06
NN2,univariate,2,-0.56,0.33,7.01,0.17
NN2,univariate,3,0.02,0.37,5.22,0.25
NN2,univariate,4,0.37,0.53,4.47,0.41
NN2,univariate,5,0.65,0.62,4.44,0.48
NN2,univariate,6,0.91,0.81,4.42,0.64
NN2,univariate,7,1.17,0.75,4.30,0.61
NN2,univariate,8,1.48,0.83,4.71,0.61
