model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.81,-0.78,8.79,-0.31
NN1,univariate,2,-0.97,0.25,6.91,0.12
NN1,univariate,3,-0.27,0.54,5.87,0.32
NN1,univariate,4,0.19,0.72,5.39,0.46
NN1,univariate,5,0.57,0.82,5.06,0.56
NN1,univariate,6,0.91,0.99,5.08,0.67
NN1,univariate,7,1.27,1.13,5.09,0.77
NN1,univariate,8,1.68,1.30,5.22,0.86
NN1,univariate,9,2.26,1.47,5.68,0.90
NN1,univariate,High(H),3.70,1.97,6.72,1.01
NN1,univariate,H-L,6.51,2.75,4.46,2.13
NN1,independent,Low(L),-2.44,-0.14,7.74,-0.06
NN1,independent,2,-0.96,0.24,6.22,0.13
NN1,independent,3,-0.27,0.56,5.88,0.33
NN1,independent,4,0.19,0.73,5.64,0.45
NN1,independent,5,0.57,0.81,5.42,0.52
NN1,independent,6,0.91,0.96,5.46,0.61
NN1,independent,7,1.27,1.12,5.53,0.70
NN1,independent,8,1.68,1.30,5.51,0.82
NN1,independent,9,2.26,1.50,5.81,0.90
NN1,independent,High(H),3.60,1.86,6.28,1.02
NN1,independent,H-L,6.05,2.04,3.50,2.02
NN1,dependent,Low(L),-2.25,-0.32,6.96,-0.16
NN1,dependent,2,-0.99,0.14,6.26,0.08
NN1,dependent,3,-0.39,0.41,5.92,0.24
NN1,dependent,4,0.06,0.59,5.67,0.36
NN1,dependent,5,0.46,0.77,5.62,0.47
NN1,dependent,6,0.84,1.01,5.57,0.63
NN1,dependent,7,1.23,1.20,5.54,0.75
NN1,dependent,8,1.68,1.26,5.55,0.79
NN1,dependent,9,2.28,1.53,5.77,0.92
NN1,dependent,High(H),3.57,1.80,6.33,0.99
NN1,dependent,H-L,5.82,2.12,2.96,2.48
NN2,univariate,Low(L),-2.35,-0.81,9.06,-0.31
NN2,univariate,2,-0.67,0.28,7.19,0.13
NN2,univariate,3,-0.03,0.57,6.08,0.33
NN2,univariate,4,0.34,0.73,5.30,0.48
NN2,univariate,5,0.63,0.90,4.93,0.63
NN2,univariate,6,0.89,1.02,4.81,0.73
NN2,univariate,7,1.15,1.07,4.90,0.76
NN2,univariate,8,1.47,1.26,5.21,0.84
NN2,univariate,9,1.92,1.49,5.67,0.91
NN2,univariate,High(H),3.18,1.90,6.90,0.95
NN2,univariate,H-L,5.53,2.71,4.77,1.97
NN2,independent,Low(L),-2.00,-0.31,8.29,-0.13
NN2,independent,2,-0.64,0.37,6.39,0.20
NN2,independent,3,-0.03,0.56,5.93,0.33
NN2,independent,4,0.34,0.72,5.59,0.45
NN2,independent,5,0.63,0.91,5.35,0.59
NN2,independent,6,0.89,1.05,5.23,0.70
NN2,independent,7,1.15,1.06,5.34,0.69
NN2,independent,8,1.47,1.27,5.47,0.80
NN2,independent,9,1.92,1.42,5.74,0.86
NN2,independent,High(H),3.08,1.82,6.50,0.97
NN2,independent,H-L,5.11,2.23,3.93,1.97
NN2,dependent,Low(L),-1.72,-0.28,7.08,-0.14
NN2,dependent,2,-0.67,0.12,6.28,0.07
NN2,dependent,3,-0.18,0.45,5.98,0.26
NN2,dependent,4,0.18,0.64,5.79,0.39
NN2,dependent,5,0.50,0.79,5.53,0.50
NN2,dependent,6,0.80,0.95,5.47,0.60
NN2,dependent,7,1.11,1.09,5.36,0.70
NN2,dependent,8,1.47,1.38,5.64,0.85
NN2,dependent,9,1.95,1.42,5.67,0.87
NN2,dependent,High(H),3.05,1.82,6.49,0.97
NN2,dependent,H-L,4.77,2.10,3.11,2.34
NN3,univariate,Low(L),-1.93,-0.67,9.04,-0.26
NN3,univariate,2,-0.44,0.31,7.35,0.15
NN3,univariate,3,0.13,0.62,6.13,0.35
NN3,univariate,4,0.46,0.75,5.38,0.48
NN3,univariate,5,0.70,0.85,4.98,0.59
NN3,univariate,6,0.91,0.97,4.80,0.70
NN3,univariate,7,1.12,1.10,4.89,0.78
NN3,univariate,8,1.36,1.27,5.17,0.85
NN3,univariate,9,1.70,1.42,5.63,0.87
NN3,univariate,High(H),2.63,1.78,6.77,0.91
NN3,univariate,H-L,4.56,2.45,4.88,1.74
NN3,independent,Low(L),-1.63,-0.23,8.21,-0.10
NN3,independent,2,-0.42,0.26,6.71,0.13
NN3,independent,3,0.13,0.59,5.94,0.34
NN3,independent,4,0.46,0.76,5.61,0.47
NN3,independent,5,0.70,0.82,5.44,0.53
NN3,independent,6,0.91,0.99,5.26,0.65
NN3,independent,7,1.12,1.08,5.39,0.70
NN3,independent,8,1.36,1.31,5.55,0.82
NN3,independent,9,1.70,1.36,5.72,0.82
NN3,independent,High(H),2.57,1.72,6.34,0.94
NN3,independent,H-L,4.21,2.02,4.09,1.71
NN3,dependent,Low(L),-1.36,-0.22,7.11,-0.11
NN3,dependent,2,-0.42,0.18,6.44,0.10
NN3,dependent,3,0.01,0.57,6.00,0.33
NN3,dependent,4,0.32,0.63,5.73,0.38
NN3,dependent,5,0.58,0.77,5.47,0.49
NN3,dependent,6,0.82,1.01,5.51,0.64
NN3,dependent,7,1.07,1.03,5.40,0.66
NN3,dependent,8,1.35,1.25,5.52,0.79
NN3,dependent,9,1.71,1.42,5.81,0.85
NN3,dependent,High(H),2.53,1.75,6.36,0.95
NN3,dependent,H-L,3.88,1.97,3.26,2.09
NN4,univariate,Low(L),-1.50,-0.61,8.98,-0.24
NN4,univariate,2,-0.34,0.31,7.24,0.15
NN4,univariate,3,0.14,0.60,6.13,0.34
NN4,univariate,4,0.43,0.74,5.37,0.48
NN4,univariate,5,0.64,0.88,5.01,0.61
NN4,univariate,6,0.83,0.98,4.96,0.68
NN4,univariate,7,1.02,1.16,4.98,0.81
NN4,univariate,8,1.23,1.20,5.24,0.80
NN4,univariate,9,1.55,1.45,5.66,0.89
NN4,univariate,High(H),2.38,1.71,6.59,0.90
NN4,univariate,H-L,3.88,2.32,4.96,1.62
NN4,independent,Low(L),-1.29,-0.18,8.28,-0.08
NN4,independent,2,-0.32,0.33,6.66,0.17
NN4,independent,3,0.14,0.60,5.86,0.36
NN4,independent,4,0.43,0.74,5.61,0.46
NN4,independent,5,0.64,0.96,5.67,0.59
NN4,independent,6,0.83,1.02,5.53,0.64
NN4,independent,7,1.02,1.21,5.39,0.78
NN4,independent,8,1.23,1.14,5.59,0.71
NN4,independent,9,1.55,1.43,5.81,0.85
NN4,independent,High(H),2.32,1.62,6.22,0.90
NN4,independent,H-L,3.62,1.87,4.28,1.52
NN4,dependent,Low(L),-1.02,-0.13,7.02,-0.06
NN4,dependent,2,-0.31,0.19,6.25,0.11
NN4,dependent,3,0.04,0.51,5.91,0.30
NN4,dependent,4,0.30,0.65,5.76,0.39
NN4,dependent,5,0.53,0.71,5.62,0.44
NN4,dependent,6,0.75,0.99,5.50,0.63
NN4,dependent,7,0.97,1.19,5.62,0.73
NN4,dependent,8,1.22,1.24,5.61,0.76
NN4,dependent,9,1.56,1.38,5.88,0.81
NN4,dependent,High(H),2.29,1.67,6.22,0.93
NN4,dependent,H-L,3.31,1.79,3.26,1.90
NN5,univariate,Low(L),-1.06,-0.64,8.90,-0.25
NN5,univariate,2,-0.15,0.33,7.25,0.16
NN5,univariate,3,0.21,0.61,6.24,0.34
NN5,univariate,4,0.44,0.81,5.53,0.51
NN5,univariate,5,0.61,0.99,5.24,0.66
NN5,univariate,6,0.76,0.99,5.03,0.68
NN5,univariate,7,0.91,1.10,5.04,0.76
NN5,univariate,8,1.09,1.17,5.23,0.77
NN5,univariate,9,1.32,1.36,5.33,0.88
NN5,univariate,High(H),1.85,1.69,6.35,0.92
NN5,univariate,H-L,2.91,2.33,5.04,1.60
NN5,independent,Low(L),-0.89,-0.10,8.10,-0.04
NN5,independent,2,-0.14,0.34,6.62,0.18
NN5,independent,3,0.21,0.61,5.95,0.36
NN5,independent,4,0.44,0.79,5.68,0.48
NN5,independent,5,0.61,1.01,5.60,0.63
NN5,independent,6,0.76,0.99,5.46,0.63
NN5,independent,7,0.91,1.06,5.44,0.67
NN5,independent,8,1.09,1.11,5.61,0.69
NN5,independent,9,1.32,1.39,5.53,0.87
NN5,independent,High(H),1.83,1.64,6.11,0.93
NN5,independent,H-L,2.73,1.80,4.21,1.48
NN5,dependent,Low(L),-0.71,-0.25,7.02,-0.12
NN5,dependent,2,-0.13,0.21,6.34,0.12
NN5,dependent,3,0.15,0.55,5.94,0.32
NN5,dependent,4,0.36,0.68,5.75,0.41
NN5,dependent,5,0.54,0.84,5.67,0.52
NN5,dependent,6,0.70,1.00,5.57,0.62
NN5,dependent,7,0.88,1.16,5.58,0.72
NN5,dependent,8,1.07,1.21,5.61,0.74
NN5,dependent,9,1.31,1.34,5.72,0.81
NN5,dependent,High(H),1.80,1.66,6.11,0.94
NN5,dependent,H-L,2.51,1.90,3.19,2.07
