model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.44,-0.36,9.14,-0.14
NN1,univariate,2,-0.92,0.19,6.58,0.10
NN1,univariate,3,-0.25,0.31,5.17,0.20
NN1,univariate,4,0.20,0.45,4.48,0.35
NN1,univariate,5,0.57,0.64,4.39,0.50
NN1,univariate,6,0.91,0.71,4.37,0.56
NN1,univariate,7,1.27,0.77,4.31,0.62
NN1,univariate,8,1.68,1.03,4.75,0.75
NN1,univariate,9,2.23,1.01,5.16,0.68
NN1,univariate,High(H),3.36,1.16,6.47,0.62
NN1,univariate,H-L,5.80,1.52,5.59,0.94
NN1,independent,Low(L),-2.38,-0.07,8.69,-0.03
NN1,independent,2,-0.94,0.23,7.06,0.11
NN1,independent,3,-0.26,0.38,6.13,0.22
NN1,independent,4,0.19,0.61,5.96,0.35
NN1,independent,5,0.57,0.74,5.79,0.44
NN1,independent,6,0.91,0.68,5.96,0.40
NN1,independent,7,1.27,0.83,5.45,0.53
NN1,independent,8,1.68,1.12,6.04,0.64
NN1,independent,9,2.25,1.19,5.97,0.69
NN1,independent,High(H),3.48,1.29,6.72,0.66
NN1,independent,H-L,5.86,1.39,4.23,1.14
NN1,dependent,Low(L),-2.18,-0.32,7.99,-0.14
NN1,dependent,2,-0.98,0.15,7.14,0.07
NN1,dependent,3,-0.39,0.44,6.43,0.24
NN1,dependent,4,0.06,0.54,6.10,0.31
NN1,dependent,5,0.46,0.62,5.85,0.37
NN1,dependent,6,0.84,0.74,5.75,0.45
NN1,dependent,7,1.23,1.02,5.73,0.62
NN1,dependent,8,1.68,0.93,5.78,0.55
NN1,dependent,9,2.26,1.23,6.13,0.69
NN1,dependent,High(H),3.45,1.21,6.78,0.62
NN1,dependent,H-L,5.64,1.53,3.72,1.42
NN2,univariate,Low(L),-2.05,-0.37,9.91,-0.13
NN2,univariate,2,-0.60,0.39,7.05,0.19
NN2,univariate,3,-0.02,0.35,5.34,0.23
NN2,univariate,4,0.35,0.52,4.44,0.41
NN2,univariate,5,0.63,0.65,4.42,0.51
NN2,univariate,6,0.89,0.76,4.45,0.59
NN2,univariate,7,1.15,0.79,4.24,0.65
NN2,univariate,8,1.46,0.78,4.73,0.57
NN2,univariate,9,1.89,0.98,5.24,0.65
NN2,univariate,High(H),2.88,1.08,7.02,0.53
NN2,univariate,H-L,4.92,1.45,6.28,0.80
NN2,independent,Low(L),-1.94,-0.17,9.28,-0.06
NN2,independent,2,-0.62,0.35,7.10,0.17
NN2,independent,3,-0.03,0.41,6.38,0.22
NN2,independent,4,0.34,0.60,5.79,0.36
NN2,independent,5,0.63,0.71,5.85,0.42
NN2,independent,6,0.89,0.85,5.67,0.52
NN2,independent,7,1.15,0.97,5.74,0.59
NN2,independent,8,1.47,0.98,5.79,0.59
NN2,independent,9,1.91,1.00,6.02,0.57
NN2,independent,High(H),2.98,1.25,7.13,0.61
NN2,independent,H-L,4.95,1.50,4.77,1.09
NN2,dependent,Low(L),-1.66,-0.18,8.25,-0.08
NN2,dependent,2,-0.66,0.21,7.10,0.10
NN2,dependent,3,-0.18,0.36,6.56,0.19
NN2,dependent,4,0.19,0.59,6.10,0.33
NN2,dependent,5,0.50,0.60,6.02,0.35
NN2,dependent,6,0.80,0.82,5.79,0.49
NN2,dependent,7,1.11,1.00,5.59,0.62
NN2,dependent,8,1.47,1.03,5.92,0.60
NN2,dependent,9,1.93,0.94,5.94,0.55
NN2,dependent,High(H),2.95,1.12,6.89,0.56
NN2,dependent,H-L,4.61,1.30,4.16,1.08
NN3,univariate,Low(L),-1.66,-0.17,9.83,-0.06
NN3,univariate,2,-0.39,0.17,7.31,0.08
NN3,univariate,3,0.14,0.38,5.50,0.24
NN3,univariate,4,0.47,0.44,4.72,0.32
NN3,univariate,5,0.70,0.77,4.32,0.62
NN3,univariate,6,0.91,0.66,4.28,0.53
NN3,univariate,7,1.11,0.79,4.28,0.64
NN3,univariate,8,1.35,0.88,4.69,0.65
NN3,univariate,9,1.68,0.86,5.37,0.56
NN3,univariate,High(H),2.42,1.21,6.84,0.61
NN3,univariate,H-L,4.08,1.39,6.22,0.77
NN3,independent,Low(L),-1.58,-0.02,9.01,-0.01
NN3,independent,2,-0.40,0.15,7.38,0.07
NN3,independent,3,0.13,0.36,6.33,0.20
NN3,independent,4,0.46,0.51,5.97,0.29
NN3,independent,5,0.70,0.68,5.88,0.40
NN3,independent,6,0.91,0.87,5.71,0.53
NN3,independent,7,1.11,0.86,5.61,0.53
NN3,independent,8,1.35,1.06,5.78,0.63
NN3,independent,9,1.69,0.93,6.09,0.53
NN3,independent,High(H),2.48,1.32,6.97,0.65
NN3,independent,H-L,4.08,1.37,4.92,0.96
NN3,dependent,Low(L),-1.29,-0.09,8.05,-0.04
NN3,dependent,2,-0.41,0.11,7.04,0.05
NN3,dependent,3,0.01,0.46,6.56,0.24
NN3,dependent,4,0.32,0.50,6.24,0.28
NN3,dependent,5,0.58,0.64,5.85,0.38
NN3,dependent,6,0.82,0.87,5.89,0.51
NN3,dependent,7,1.07,0.96,5.73,0.58
NN3,dependent,8,1.34,0.92,5.72,0.56
NN3,dependent,9,1.71,1.03,6.07,0.59
NN3,dependent,High(H),2.45,1.17,6.91,0.59
NN3,dependent,H-L,3.74,1.26,4.39,1.00
NN4,univariate,Low(L),-1.31,-0.26,10.06,-0.09
NN4,univariate,2,-0.30,0.31,7.81,0.14
NN4,univariate,3,0.16,0.35,5.71,0.21
NN4,univariate,4,0.43,0.41,4.57,0.31
NN4,univariate,5,0.64,0.57,4.29,0.46
NN4,univariate,6,0.83,0.75,4.42,0.59
NN4,univariate,7,1.01,0.65,4.28,0.53
NN4,univariate,8,1.23,1.04,4.54,0.79
NN4,univariate,9,1.53,1.05,5.19,0.70
NN4,univariate,High(H),2.19,1.00,6.25,0.56
NN4,univariate,H-L,3.49,1.26,6.60,0.66
NN4,independent,Low(L),-1.24,-0.03,9.06,-0.01
NN4,independent,2,-0.31,0.28,7.47,0.13
NN4,independent,3,0.15,0.38,6.28,0.21
NN4,independent,4,0.43,0.55,5.90,0.32
NN4,independent,5,0.64,0.66,5.83,0.39
NN4,independent,6,0.83,0.84,5.82,0.50
NN4,independent,7,1.01,0.96,5.68,0.58
NN4,independent,8,1.23,0.89,5.69,0.54
NN4,independent,9,1.54,1.08,5.96,0.63
NN4,independent,High(H),2.25,1.07,6.67,0.55
NN4,independent,H-L,3.50,1.14,5.20,0.76
NN4,dependent,Low(L),-0.96,-0.08,8.10,-0.03
NN4,dependent,2,-0.30,0.01,6.93,0.00
NN4,dependent,3,0.04,0.57,6.73,0.29
NN4,dependent,4,0.30,0.52,6.23,0.29
NN4,dependent,5,0.53,0.66,5.94,0.38
NN4,dependent,6,0.75,0.84,5.91,0.49
NN4,dependent,7,0.97,0.91,5.82,0.54
NN4,dependent,8,1.22,0.96,5.79,0.58
NN4,dependent,9,1.55,0.99,5.95,0.58
NN4,dependent,High(H),2.21,1.09,6.63,0.57
NN4,dependent,H-L,3.18,1.17,4.53,0.89
NN5,univariate,Low(L),-0.89,-0.22,9.55,-0.08
NN5,univariate,2,-0.12,0.37,7.59,0.17
NN5,univariate,3,0.22,0.18,5.73,0.11
NN5,univariate,4,0.44,0.52,4.93,0.37
NN5,univariate,5,0.61,0.62,4.56,0.47
NN5,univariate,6,0.76,0.65,4.37,0.51
NN5,univariate,7,0.91,0.80,4.16,0.67
NN5,univariate,8,1.08,0.74,4.39,0.58
NN5,univariate,9,1.31,0.93,5.00,0.64
NN5,univariate,High(H),1.74,1.12,5.92,0.65
NN5,univariate,H-L,2.63,1.34,6.63,0.70
NN5,independent,Low(L),-0.85,0.19,8.92,0.07
NN5,independent,2,-0.13,0.24,7.48,0.11
NN5,independent,3,0.22,0.35,6.20,0.19
NN5,independent,4,0.44,0.55,6.02,0.32
NN5,independent,5,0.61,0.57,5.86,0.34
NN5,independent,6,0.76,0.86,5.79,0.52
NN5,independent,7,0.91,0.87,5.64,0.53
NN5,independent,8,1.09,0.80,5.74,0.48
NN5,independent,9,1.31,1.05,5.91,0.62
NN5,independent,High(H),1.78,1.13,6.43,0.61
NN5,independent,H-L,2.64,0.95,4.99,0.66
NN5,dependent,Low(L),-0.67,-0.15,7.92,-0.06
NN5,dependent,2,-0.12,0.07,7.15,0.03
NN5,dependent,3,0.15,0.47,6.42,0.25
NN5,dependent,4,0.36,0.72,6.49,0.39
NN5,dependent,5,0.54,0.46,6.07,0.26
NN5,dependent,6,0.70,0.88,5.93,0.51
NN5,dependent,7,0.88,0.97,5.71,0.59
NN5,dependent,8,1.06,0.83,5.80,0.49
NN5,dependent,9,1.31,0.98,5.96,0.57
NN5,dependent,High(H),1.75,1.02,6.36,0.56
NN5,dependent,H-L,2.42,1.17,4.16,0.97
