model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.81,-0.78,8.79,-0.31
NN1,univariate,2,-0.97,0.25,6.91,0.12
NN1,univariate,3,-0.27,0.54,5.87,0.32
NN1,univariate,4,0.19,0.72,5.39,0.46
NN1,univariate,5,0.57,0.82,5.06,0.56
NN1,univariate,6,0.91,0.99,5.08,0.67
NN1,univariate,7,1.27,1.13,5.09,0.77
NN1,univariate,8,1.68,1.30,5.22,0.86
NN1,univariate,9,2.26,1.47,5.68,0.90
NN1,univariate,High(H),3.70,1.97,6.72,1.01
NN1,univariate,H-L,6.51,2.75,4.46,2.13
NN1,independent,Low(L),-2.44,-0.39,7.45,-0.18
NN1,independent,2,-0.95,0.28,6.17,0.16
NN1,independent,3,-0.27,0.56,5.83,0.33
NN1,independent,4,0.19,0.76,5.73,0.46
NN1,independent,5,0.57,0.77,5.51,0.49
NN1,independent,6,0.91,1.02,5.60,0.63
NN1,independent,7,1.27,1.17,5.63,0.72
NN1,independent,8,1.68,1.31,5.60,0.81
NN1,independent,9,2.26,1.46,5.79,0.88
NN1,independent,High(H),3.55,1.85,6.17,1.04
NN1,independent,H-L,6.01,2.27,3.23,2.44
NN1,dependent,Low(L),-2.24,-0.36,6.80,-0.18
NN1,dependent,2,-0.99,0.20,6.16,0.11
NN1,dependent,3,-0.39,0.39,5.94,0.23
NN1,dependent,4,0.06,0.62,5.73,0.38
NN1,dependent,5,0.47,0.86,5.70,0.52
NN1,dependent,6,0.85,0.96,5.64,0.59
NN1,dependent,7,1.25,1.20,5.57,0.74
NN1,dependent,8,1.70,1.20,5.72,0.73
NN1,dependent,9,2.29,1.54,5.75,0.93
NN1,dependent,High(H),3.53,1.81,6.17,1.01
NN1,dependent,H-L,5.77,2.17,2.80,2.68
NN2,univariate,Low(L),-2.35,-0.81,9.06,-0.31
NN2,univariate,2,-0.67,0.28,7.19,0.13
NN2,univariate,3,-0.03,0.57,6.08,0.33
NN2,univariate,4,0.34,0.73,5.30,0.48
NN2,univariate,5,0.63,0.90,4.93,0.63
NN2,univariate,6,0.89,1.02,4.81,0.73
NN2,univariate,7,1.15,1.07,4.90,0.76
NN2,univariate,8,1.47,1.26,5.21,0.84
NN2,univariate,9,1.92,1.49,5.67,0.91
NN2,univariate,High(H),3.18,1.90,6.90,0.95
NN2,univariate,H-L,5.53,2.71,4.77,1.97
NN2,independent,Low(L),-2.03,-0.41,7.92,-0.18
NN2,independent,2,-0.64,0.37,6.31,0.20
NN2,independent,3,-0.03,0.53,5.90,0.31
NN2,independent,4,0.34,0.79,5.71,0.48
NN2,independent,5,0.63,0.94,5.47,0.59
NN2,independent,6,0.89,1.08,5.31,0.71
NN2,independent,7,1.15,1.06,5.45,0.67
NN2,independent,8,1.47,1.31,5.50,0.82
NN2,independent,9,1.92,1.43,5.78,0.86
NN2,independent,High(H),3.02,1.82,6.37,0.99
NN2,independent,H-L,5.09,2.31,3.54,2.26
NN2,dependent,Low(L),-1.74,-0.33,6.89,-0.17
NN2,dependent,2,-0.67,0.16,6.19,0.09
NN2,dependent,3,-0.18,0.45,5.93,0.26
NN2,dependent,4,0.20,0.62,5.79,0.37
NN2,dependent,5,0.52,0.80,5.72,0.48
NN2,dependent,6,0.82,1.02,5.56,0.64
NN2,dependent,7,1.13,1.15,5.56,0.72
NN2,dependent,8,1.49,1.28,5.62,0.79
NN2,dependent,9,1.96,1.47,5.73,0.89
NN2,dependent,High(H),3.00,1.79,6.31,0.98
NN2,dependent,H-L,4.74,2.13,2.93,2.51
NN3,univariate,Low(L),-1.93,-0.67,9.04,-0.26
NN3,univariate,2,-0.44,0.31,7.35,0.15
NN3,univariate,3,0.13,0.62,6.13,0.35
NN3,univariate,4,0.46,0.75,5.38,0.48
NN3,univariate,5,0.70,0.85,4.98,0.59
NN3,univariate,6,0.91,0.97,4.80,0.70
NN3,univariate,7,1.12,1.10,4.89,0.78
NN3,univariate,8,1.36,1.27,5.17,0.85
NN3,univariate,9,1.70,1.42,5.63,0.87
NN3,univariate,High(H),2.63,1.78,6.77,0.91
NN3,univariate,H-L,4.56,2.45,4.88,1.74
NN3,independent,Low(L),-1.65,-0.28,7.72,-0.12
NN3,independent,2,-0.42,0.36,6.54,0.19
NN3,independent,3,0.13,0.61,5.91,0.36
NN3,independent,4,0.46,0.77,5.74,0.46
NN3,independent,5,0.70,0.85,5.61,0.52
NN3,independent,6,0.91,1.02,5.39,0.65
NN3,independent,7,1.12,1.14,5.44,0.72
NN3,independent,8,1.36,1.32,5.65,0.81
NN3,independent,9,1.70,1.36,5.64,0.84
NN3,independent,High(H),2.51,1.66,6.21,0.93
NN3,independent,H-L,4.20,2.00,3.63,1.91
NN3,dependent,Low(L),-1.38,-0.26,6.96,-0.13
NN3,dependent,2,-0.42,0.27,6.35,0.15
NN3,dependent,3,0.01,0.51,5.92,0.30
NN3,dependent,4,0.33,0.60,5.77,0.36
NN3,dependent,5,0.59,0.83,5.69,0.50
NN3,dependent,6,0.84,0.98,5.55,0.61
NN3,dependent,7,1.09,1.12,5.49,0.71
NN3,dependent,8,1.37,1.26,5.60,0.78
NN3,dependent,9,1.73,1.42,5.83,0.85
NN3,dependent,High(H),2.48,1.70,6.15,0.96
NN3,dependent,H-L,3.86,1.95,3.08,2.20
NN4,univariate,Low(L),-1.50,-0.61,8.98,-0.24
NN4,univariate,2,-0.34,0.31,7.24,0.15
NN4,univariate,3,0.14,0.60,6.13,0.34
NN4,univariate,4,0.43,0.74,5.37,0.48
NN4,univariate,5,0.64,0.88,5.01,0.61
NN4,univariate,6,0.83,0.98,4.96,0.68
NN4,univariate,7,1.02,1.16,4.98,0.81
NN4,univariate,8,1.23,1.20,5.24,0.80
NN4,univariate,9,1.55,1.45,5.66,0.89
NN4,univariate,High(H),2.38,1.71,6.59,0.90
NN4,univariate,H-L,3.88,2.32,4.96,1.62
NN4,independent,Low(L),-1.31,-0.27,7.65,-0.12
NN4,independent,2,-0.32,0.45,6.44,0.24
NN4,independent,3,0.14,0.57,5.88,0.34
NN4,independent,4,0.43,0.76,5.72,0.46
NN4,independent,5,0.64,0.99,5.80,0.59
NN4,independent,6,0.83,1.05,5.64,0.65
NN4,independent,7,1.02,1.25,5.53,0.79
NN4,independent,8,1.23,1.19,5.66,0.73
NN4,independent,9,1.55,1.41,5.82,0.84
NN4,independent,High(H),2.27,1.65,6.05,0.95
NN4,independent,H-L,3.61,1.97,3.67,1.86
NN4,dependent,Low(L),-1.05,-0.20,6.78,-0.10
NN4,dependent,2,-0.31,0.24,6.23,0.13
NN4,dependent,3,0.04,0.49,5.88,0.29
NN4,dependent,4,0.32,0.66,5.84,0.39
NN4,dependent,5,0.55,0.77,5.70,0.47
NN4,dependent,6,0.77,0.99,5.67,0.60
NN4,dependent,7,0.99,1.17,5.67,0.71
NN4,dependent,8,1.25,1.23,5.71,0.75
NN4,dependent,9,1.57,1.41,5.76,0.85
NN4,dependent,High(H),2.24,1.65,6.05,0.95
NN4,dependent,H-L,3.29,1.85,3.00,2.14
NN5,univariate,Low(L),-1.06,-0.64,8.90,-0.25
NN5,univariate,2,-0.15,0.33,7.25,0.16
NN5,univariate,3,0.21,0.61,6.24,0.34
NN5,univariate,4,0.44,0.81,5.53,0.51
NN5,univariate,5,0.61,0.99,5.24,0.66
NN5,univariate,6,0.76,0.99,5.03,0.68
NN5,univariate,7,0.91,1.10,5.04,0.76
NN5,univariate,8,1.09,1.17,5.23,0.77
NN5,univariate,9,1.32,1.36,5.33,0.88
NN5,univariate,High(H),1.85,1.69,6.35,0.92
NN5,univariate,H-L,2.91,2.33,5.04,1.60
NN5,independent,Low(L),-0.90,-0.15,7.58,-0.07
NN5,independent,2,-0.14,0.38,6.51,0.20
NN5,independent,3,0.21,0.58,5.92,0.34
NN5,independent,4,0.44,0.84,5.84,0.50
NN5,independent,5,0.61,1.06,5.73,0.64
NN5,independent,6,0.76,0.97,5.51,0.61
NN5,independent,7,0.91,1.11,5.53,0.69
NN5,independent,8,1.09,1.13,5.64,0.69
NN5,independent,9,1.32,1.36,5.58,0.84
NN5,independent,High(H),1.80,1.67,5.97,0.97
NN5,independent,H-L,2.72,1.85,3.77,1.70
NN5,dependent,Low(L),-0.73,-0.31,6.77,-0.16
NN5,dependent,2,-0.13,0.35,6.32,0.19
NN5,dependent,3,0.15,0.49,5.99,0.28
NN5,dependent,4,0.36,0.65,5.79,0.39
NN5,dependent,5,0.55,0.81,5.70,0.49
NN5,dependent,6,0.72,1.04,5.63,0.64
NN5,dependent,7,0.89,1.20,5.79,0.72
NN5,dependent,8,1.08,1.18,5.69,0.72
NN5,dependent,9,1.32,1.37,5.63,0.85
NN5,dependent,High(H),1.77,1.64,5.98,0.95
NN5,dependent,H-L,2.50,1.95,3.03,2.23
