model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.44,-0.36,9.14,-0.14
NN1,univariate,2,-0.92,0.19,6.58,0.10
NN1,univariate,3,-0.25,0.31,5.17,0.20
NN1,univariate,4,0.20,0.45,4.48,0.35
NN1,univariate,5,0.57,0.64,4.39,0.50
NN1,univariate,6,0.91,0.71,4.37,0.56
NN1,univariate,7,1.27,0.77,4.31,0.62
NN1,univariate,8,1.68,1.03,4.75,0.75
NN1,univariate,9,2.23,1.01,5.16,0.68
NN1,univariate,High(H),3.36,1.16,6.47,0.62
NN1,univariate,H-L,5.80,1.52,5.59,0.94
NN1,independent,Low(L),-2.42,-0.14,8.70,-0.06
NN1,independent,2,-0.95,0.16,7.33,0.08
NN1,independent,3,-0.27,0.31,6.75,0.16
NN1,independent,4,0.19,0.60,6.55,0.31
NN1,independent,5,0.57,0.65,6.53,0.34
NN1,independent,6,0.91,0.76,6.54,0.41
NN1,independent,7,1.27,0.93,6.30,0.51
NN1,independent,8,1.68,1.11,6.56,0.59
NN1,independent,9,2.25,1.13,6.49,0.60
NN1,independent,High(H),3.51,1.34,6.96,0.67
NN1,independent,H-L,5.94,1.47,4.02,1.27
NN1,dependent,Low(L),-2.22,-0.18,8.06,-0.08
NN1,dependent,2,-0.99,0.13,7.31,0.06
NN1,dependent,3,-0.39,0.40,6.89,0.20
NN1,dependent,4,0.06,0.36,6.64,0.19
NN1,dependent,5,0.47,0.58,6.57,0.31
NN1,dependent,6,0.85,0.87,6.46,0.47
NN1,dependent,7,1.25,0.93,6.37,0.51
NN1,dependent,8,1.70,1.01,6.56,0.54
NN1,dependent,9,2.29,1.20,6.65,0.63
NN1,dependent,High(H),3.49,1.18,6.93,0.59
NN1,dependent,H-L,5.71,1.36,3.62,1.30
NN2,univariate,Low(L),-2.05,-0.37,9.91,-0.13
NN2,univariate,2,-0.60,0.39,7.05,0.19
NN2,univariate,3,-0.02,0.35,5.34,0.23
NN2,univariate,4,0.35,0.52,4.44,0.41
NN2,univariate,5,0.63,0.65,4.42,0.51
NN2,univariate,6,0.89,0.76,4.45,0.59
NN2,univariate,7,1.15,0.79,4.24,0.65
NN2,univariate,8,1.46,0.78,4.73,0.57
NN2,univariate,9,1.89,0.98,5.24,0.65
NN2,univariate,High(H),2.88,1.08,7.02,0.53
NN2,univariate,H-L,4.92,1.45,6.28,0.80
NN2,independent,Low(L),-1.99,-0.34,9.23,-0.13
NN2,independent,2,-0.63,0.35,7.38,0.16
NN2,independent,3,-0.03,0.40,6.92,0.20
NN2,independent,4,0.34,0.56,6.34,0.31
NN2,independent,5,0.63,0.72,6.52,0.38
NN2,independent,6,0.89,0.94,6.41,0.51
NN2,independent,7,1.15,0.96,6.37,0.52
NN2,independent,8,1.47,1.06,6.45,0.57
NN2,independent,9,1.91,1.03,6.46,0.55
NN2,independent,High(H),3.00,1.25,7.34,0.59
NN2,independent,H-L,5.03,1.60,4.52,1.23
NN2,dependent,Low(L),-1.71,-0.07,8.33,-0.03
NN2,dependent,2,-0.67,0.01,7.23,0.01
NN2,dependent,3,-0.17,0.33,7.02,0.16
NN2,dependent,4,0.20,0.66,6.60,0.35
NN2,dependent,5,0.52,0.56,6.67,0.29
NN2,dependent,6,0.82,0.86,6.39,0.47
NN2,dependent,7,1.13,0.97,6.53,0.52
NN2,dependent,8,1.49,0.98,6.43,0.53
NN2,dependent,9,1.96,1.03,6.51,0.55
NN2,dependent,High(H),2.98,1.16,7.23,0.55
NN2,dependent,H-L,4.69,1.22,3.88,1.09
NN3,univariate,Low(L),-1.66,-0.17,9.83,-0.06
NN3,univariate,2,-0.39,0.17,7.31,0.08
NN3,univariate,3,0.14,0.38,5.50,0.24
NN3,univariate,4,0.47,0.44,4.72,0.32
NN3,univariate,5,0.70,0.77,4.32,0.62
NN3,univariate,6,0.91,0.66,4.28,0.53
NN3,univariate,7,1.11,0.79,4.28,0.64
NN3,univariate,8,1.35,0.88,4.69,0.65
NN3,univariate,9,1.68,0.86,5.37,0.56
NN3,univariate,High(H),2.42,1.21,6.84,0.61
NN3,univariate,H-L,4.08,1.39,6.22,0.77
NN3,independent,Low(L),-1.62,-0.12,8.98,-0.05
NN3,independent,2,-0.41,0.20,7.63,0.09
NN3,independent,3,0.13,0.38,6.85,0.19
NN3,independent,4,0.46,0.49,6.64,0.26
NN3,independent,5,0.70,0.64,6.59,0.34
NN3,independent,6,0.91,1.01,6.36,0.55
NN3,independent,7,1.12,0.92,6.45,0.50
NN3,independent,8,1.36,1.07,6.47,0.57
NN3,independent,9,1.70,0.90,6.39,0.49
NN3,independent,High(H),2.49,1.27,7.11,0.62
NN3,independent,H-L,4.13,1.41,4.69,1.04
NN3,dependent,Low(L),-1.34,-0.11,8.28,-0.05
NN3,dependent,2,-0.42,0.14,7.47,0.06
NN3,dependent,3,0.01,0.43,6.72,0.22
NN3,dependent,4,0.33,0.46,6.79,0.24
NN3,dependent,5,0.59,0.62,6.42,0.34
NN3,dependent,6,0.84,0.87,6.47,0.47
NN3,dependent,7,1.09,0.97,6.33,0.53
NN3,dependent,8,1.36,1.02,6.57,0.54
NN3,dependent,9,1.72,1.02,6.49,0.54
NN3,dependent,High(H),2.45,1.12,7.09,0.55
NN3,dependent,H-L,3.79,1.24,4.16,1.03
NN4,univariate,Low(L),-1.31,-0.26,10.06,-0.09
NN4,univariate,2,-0.30,0.31,7.81,0.14
NN4,univariate,3,0.16,0.35,5.71,0.21
NN4,univariate,4,0.43,0.41,4.57,0.31
NN4,univariate,5,0.64,0.57,4.29,0.46
NN4,univariate,6,0.83,0.75,4.42,0.59
NN4,univariate,7,1.01,0.65,4.28,0.53
NN4,univariate,8,1.23,1.04,4.54,0.79
NN4,univariate,9,1.53,1.05,5.19,0.70
NN4,univariate,High(H),2.19,1.00,6.25,0.56
NN4,univariate,H-L,3.49,1.26,6.60,0.66
NN4,independent,Low(L),-1.28,-0.22,9.12,-0.08
NN4,independent,2,-0.31,0.29,7.53,0.14
NN4,independent,3,0.14,0.38,6.94,0.19
NN4,independent,4,0.43,0.52,6.62,0.27
NN4,independent,5,0.64,0.72,6.57,0.38
NN4,independent,6,0.83,0.90,6.42,0.48
NN4,independent,7,1.02,1.04,6.42,0.56
NN4,independent,8,1.23,0.99,6.49,0.53
NN4,independent,9,1.54,1.09,6.49,0.58
NN4,independent,High(H),2.24,1.16,6.88,0.59
NN4,independent,H-L,3.54,1.40,4.77,1.02
NN4,dependent,Low(L),-1.01,-0.13,8.18,-0.06
NN4,dependent,2,-0.31,0.03,7.24,0.02
NN4,dependent,3,0.04,0.45,6.79,0.23
NN4,dependent,4,0.31,0.55,6.69,0.29
NN4,dependent,5,0.55,0.56,6.56,0.30
NN4,dependent,6,0.77,0.82,6.53,0.43
NN4,dependent,7,0.99,0.89,6.60,0.47
NN4,dependent,8,1.24,1.04,6.52,0.55
NN4,dependent,9,1.57,1.03,6.38,0.56
NN4,dependent,High(H),2.21,1.08,6.84,0.55
NN4,dependent,H-L,3.22,1.21,4.03,1.04
NN5,univariate,Low(L),-0.89,-0.22,9.55,-0.08
NN5,univariate,2,-0.12,0.37,7.59,0.17
NN5,univariate,3,0.22,0.18,5.73,0.11
NN5,univariate,4,0.44,0.52,4.93,0.37
NN5,univariate,5,0.61,0.62,4.56,0.47
NN5,univariate,6,0.76,0.65,4.37,0.51
NN5,univariate,7,0.91,0.80,4.16,0.67
NN5,univariate,8,1.08,0.74,4.39,0.58
NN5,univariate,9,1.31,0.93,5.00,0.64
NN5,univariate,High(H),1.74,1.12,5.92,0.65
NN5,univariate,H-L,2.63,1.34,6.63,0.70
NN5,independent,Low(L),-0.88,0.08,8.69,0.03
NN5,independent,2,-0.13,0.31,7.67,0.14
NN5,independent,3,0.21,0.29,6.75,0.15
NN5,independent,4,0.44,0.49,6.70,0.25
NN5,independent,5,0.61,0.79,6.67,0.41
NN5,independent,6,0.76,0.85,6.44,0.46
NN5,independent,7,0.91,0.90,6.38,0.49
NN5,independent,8,1.09,0.80,6.30,0.44
NN5,independent,9,1.32,1.00,6.44,0.54
NN5,independent,High(H),1.78,1.21,6.82,0.62
NN5,independent,H-L,2.68,1.12,4.66,0.83
NN5,dependent,Low(L),-0.70,-0.21,7.99,-0.09
NN5,dependent,2,-0.13,0.17,7.42,0.08
NN5,dependent,3,0.15,0.40,6.88,0.20
NN5,dependent,4,0.36,0.63,6.93,0.32
NN5,dependent,5,0.55,0.61,6.66,0.32
NN5,dependent,6,0.72,0.89,6.38,0.48
NN5,dependent,7,0.89,0.94,6.61,0.49
NN5,dependent,8,1.08,0.82,6.46,0.44
NN5,dependent,9,1.32,1.09,6.49,0.58
NN5,dependent,High(H),1.76,1.02,6.81,0.52
NN5,dependent,H-L,2.46,1.22,3.98,1.06
