model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.44,-0.36,9.14,-0.14
NN1,univariate,2,-0.92,0.19,6.58,0.10
NN1,univariate,3,-0.25,0.31,5.17,0.20
NN1,univariate,4,0.20,0.45,4.48,0.35
NN1,univariate,5,0.57,0.64,4.39,0.50
NN1,univariate,6,0.91,0.71,4.37,0.56
NN1,univariate,7,1.27,0.77,4.31,0.62
NN1,univariate,8,1.68,1.03,4.75,0.75
NN1,univariate,9,2.23,1.01,5.16,0.68
NN1,univariate,High(H),3.36,1.16,6.47,0.62
NN1,univariate,H-L,5.80,1.52,5.59,0.94
NN1,independent,Low(L),-2.37,-0.04,8.39,-0.02
NN1,independent,2,-0.94,0.17,7.30,0.08
NN1,independent,3,-0.27,0.39,6.95,0.20
NN1,independent,4,0.19,0.61,6.76,0.31
NN1,independent,5,0.57,0.70,6.74,0.36
NN1,independent,6,0.91,0.78,6.86,0.39
NN1,independent,7,1.27,0.93,6.46,0.50
NN1,independent,8,1.68,1.14,6.73,0.59
NN1,independent,9,2.25,1.18,6.61,0.62
NN1,independent,High(H),3.44,1.32,6.61,0.69
NN1,independent,H-L,5.83,1.39,4.05,1.19
NN1,dependent,Low(L),-2.18,-0.21,7.74,-0.10
NN1,dependent,2,-1.00,0.28,7.40,0.13
NN1,dependent,3,-0.40,0.23,7.01,0.11
NN1,dependent,4,0.05,0.49,6.80,0.25
NN1,dependent,5,0.46,0.67,6.72,0.34
NN1,dependent,6,0.85,0.82,6.72,0.42
NN1,dependent,7,1.26,0.92,6.67,0.48
NN1,dependent,8,1.71,1.04,6.58,0.55
NN1,dependent,9,2.29,1.16,6.59,0.61
NN1,dependent,High(H),3.41,1.16,6.62,0.61
NN1,dependent,H-L,5.59,1.38,3.55,1.34
NN2,univariate,Low(L),-2.05,-0.37,9.91,-0.13
NN2,univariate,2,-0.60,0.39,7.05,0.19
NN2,univariate,3,-0.02,0.35,5.34,0.23
NN2,univariate,4,0.35,0.52,4.44,0.41
NN2,univariate,5,0.63,0.65,4.42,0.51
NN2,univariate,6,0.89,0.76,4.45,0.59
NN2,univariate,7,1.15,0.79,4.24,0.65
NN2,univariate,8,1.46,0.78,4.73,0.57
NN2,univariate,9,1.89,0.98,5.24,0.65
NN2,univariate,High(H),2.88,1.08,7.02,0.53
NN2,univariate,H-L,4.92,1.45,6.28,0.80
NN2,independent,Low(L),-1.93,-0.39,8.47,-0.16
NN2,independent,2,-0.63,0.33,7.23,0.16
NN2,independent,3,-0.03,0.38,7.09,0.18
NN2,independent,4,0.34,0.64,6.68,0.33
NN2,independent,5,0.63,0.72,6.69,0.37
NN2,independent,6,0.89,0.93,6.66,0.48
NN2,independent,7,1.15,0.95,6.51,0.51
NN2,independent,8,1.47,1.11,6.64,0.58
NN2,independent,9,1.90,1.03,6.62,0.54
NN2,independent,High(H),2.93,1.25,7.00,0.62
NN2,independent,H-L,4.92,1.69,4.52,1.29
NN2,dependent,Low(L),-1.64,-0.06,7.87,-0.03
NN2,dependent,2,-0.67,0.22,7.35,0.11
NN2,dependent,3,-0.19,0.33,6.83,0.17
NN2,dependent,4,0.18,0.47,6.93,0.23
NN2,dependent,5,0.51,0.68,6.73,0.35
NN2,dependent,6,0.82,0.88,6.78,0.45
NN2,dependent,7,1.14,0.90,6.55,0.47
NN2,dependent,8,1.50,0.98,6.56,0.52
NN2,dependent,9,1.96,1.11,6.54,0.59
NN2,dependent,High(H),2.89,1.09,6.78,0.56
NN2,dependent,H-L,4.54,1.15,3.72,1.07
NN3,univariate,Low(L),-1.66,-0.17,9.83,-0.06
NN3,univariate,2,-0.39,0.17,7.31,0.08
NN3,univariate,3,0.14,0.38,5.50,0.24
NN3,univariate,4,0.47,0.44,4.72,0.32
NN3,univariate,5,0.70,0.77,4.32,0.62
NN3,univariate,6,0.91,0.66,4.28,0.53
NN3,univariate,7,1.11,0.79,4.28,0.64
NN3,univariate,8,1.35,0.88,4.69,0.65
NN3,univariate,9,1.68,0.86,5.37,0.56
NN3,univariate,High(H),2.42,1.21,6.84,0.61
NN3,univariate,H-L,4.08,1.39,6.22,0.77
NN3,independent,Low(L),-1.57,-0.16,8.51,-0.06
NN3,independent,2,-0.40,0.16,7.34,0.08
NN3,independent,3,0.13,0.41,6.90,0.21
NN3,independent,4,0.46,0.58,6.89,0.29
NN3,independent,5,0.70,0.80,6.87,0.40
NN3,independent,6,0.91,0.84,6.59,0.44
NN3,independent,7,1.11,0.97,6.77,0.50
NN3,independent,8,1.35,1.18,6.73,0.61
NN3,independent,9,1.69,1.01,6.64,0.53
NN3,independent,High(H),2.44,1.26,6.85,0.64
NN3,independent,H-L,4.03,1.49,4.69,1.10
NN3,dependent,Low(L),-1.28,-0.06,7.87,-0.03
NN3,dependent,2,-0.42,0.31,7.27,0.15
NN3,dependent,3,0.00,0.25,6.88,0.12
NN3,dependent,4,0.31,0.61,7.05,0.30
NN3,dependent,5,0.58,0.65,6.78,0.33
NN3,dependent,6,0.83,0.81,6.57,0.43
NN3,dependent,7,1.08,0.96,6.63,0.50
NN3,dependent,8,1.37,0.99,6.63,0.52
NN3,dependent,9,1.72,1.02,6.46,0.55
NN3,dependent,High(H),2.39,1.18,6.81,0.60
NN3,dependent,H-L,3.66,1.24,3.95,1.09
NN4,univariate,Low(L),-1.31,-0.26,10.06,-0.09
NN4,univariate,2,-0.30,0.31,7.81,0.14
NN4,univariate,3,0.16,0.35,5.71,0.21
NN4,univariate,4,0.43,0.41,4.57,0.31
NN4,univariate,5,0.64,0.57,4.29,0.46
NN4,univariate,6,0.83,0.75,4.42,0.59
NN4,univariate,7,1.01,0.65,4.28,0.53
NN4,univariate,8,1.23,1.04,4.54,0.79
NN4,univariate,9,1.53,1.05,5.19,0.70
NN4,univariate,High(H),2.19,1.00,6.25,0.56
NN4,univariate,H-L,3.49,1.26,6.60,0.66
NN4,independent,Low(L),-1.23,-0.12,8.58,-0.05
NN4,independent,2,-0.31,0.29,7.47,0.13
NN4,independent,3,0.15,0.37,6.93,0.19
NN4,independent,4,0.43,0.60,6.73,0.31
NN4,independent,5,0.64,0.70,6.65,0.37
NN4,independent,6,0.83,0.92,6.65,0.48
NN4,independent,7,1.02,0.93,6.61,0.49
NN4,independent,8,1.23,1.05,6.61,0.55
NN4,independent,9,1.54,1.20,6.74,0.62
NN4,independent,High(H),2.21,1.15,7.09,0.56
NN4,independent,H-L,3.46,1.49,5.33,0.97
NN4,dependent,Low(L),-0.95,-0.06,7.59,-0.03
NN4,dependent,2,-0.30,0.19,7.13,0.09
NN4,dependent,3,0.04,0.36,7.12,0.17
NN4,dependent,4,0.31,0.51,6.89,0.25
NN4,dependent,5,0.54,0.70,6.97,0.35
NN4,dependent,6,0.76,0.87,6.73,0.45
NN4,dependent,7,0.99,0.84,6.53,0.44
NN4,dependent,8,1.24,1.01,6.57,0.53
NN4,dependent,9,1.56,1.00,6.54,0.53
NN4,dependent,High(H),2.15,1.06,6.60,0.56
NN4,dependent,H-L,3.11,1.12,3.60,1.08
NN5,univariate,Low(L),-0.89,-0.22,9.55,-0.08
NN5,univariate,2,-0.12,0.37,7.59,0.17
NN5,univariate,3,0.22,0.18,5.73,0.11
NN5,univariate,4,0.44,0.52,4.93,0.37
NN5,univariate,5,0.61,0.62,4.56,0.47
NN5,univariate,6,0.76,0.65,4.37,0.51
NN5,univariate,7,0.91,0.80,4.16,0.67
NN5,univariate,8,1.08,0.74,4.39,0.58
NN5,univariate,9,1.31,0.93,5.00,0.64
NN5,univariate,High(H),1.74,1.12,5.92,0.65
NN5,univariate,H-L,2.63,1.34,6.63,0.70
NN5,independent,Low(L),-0.85,0.18,8.57,0.07
NN5,independent,2,-0.13,0.15,7.36,0.07
NN5,independent,3,0.21,0.37,6.77,0.19
NN5,independent,4,0.44,0.55,6.86,0.28
NN5,independent,5,0.61,0.73,6.84,0.37
NN5,independent,6,0.76,0.91,6.68,0.47
NN5,independent,7,0.91,0.87,6.67,0.45
NN5,independent,8,1.09,0.92,6.63,0.48
NN5,independent,9,1.31,1.09,6.79,0.56
NN5,independent,High(H),1.76,1.28,6.98,0.64
NN5,independent,H-L,2.62,1.28,5.16,0.86
NN5,dependent,Low(L),-0.66,-0.18,7.58,-0.08
NN5,dependent,2,-0.13,0.23,7.29,0.11
NN5,dependent,3,0.15,0.40,7.18,0.19
NN5,dependent,4,0.36,0.58,6.87,0.29
NN5,dependent,5,0.54,0.56,6.85,0.28
NN5,dependent,6,0.71,0.86,6.75,0.44
NN5,dependent,7,0.89,0.88,6.55,0.47
NN5,dependent,8,1.07,0.90,6.66,0.47
NN5,dependent,9,1.31,0.96,6.60,0.50
NN5,dependent,High(H),1.72,1.12,6.60,0.59
NN5,dependent,H-L,2.39,1.30,3.67,1.23
