model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.81,-0.78,8.79,-0.31
NN1,univariate,2,-0.97,0.25,6.91,0.12
NN1,univariate,3,-0.27,0.54,5.87,0.32
NN1,univariate,4,0.19,0.72,5.39,0.46
NN1,univariate,5,0.57,0.82,5.06,0.56
NN1,univariate,6,0.91,0.99,5.08,0.67
NN1,univariate,7,1.27,1.13,5.09,0.77
NN1,univariate,8,1.68,1.30,5.22,0.86
NN1,univariate,9,2.26,1.47,5.68,0.90
NN1,univariate,High(H),3.70,1.97,6.72,1.01
NN1,univariate,H-L,6.51,2.75,4.46,2.13
NN1,independent,Low(L),-2.43,-0.21,7.39,-0.10
NN1,independent,2,-0.95,0.26,6.16,0.15
NN1,independent,3,-0.27,0.56,5.84,0.33
NN1,independent,4,0.19,0.74,5.73,0.45
NN1,independent,5,0.57,0.81,5.49,0.51
NN1,independent,6,0.91,0.95,5.55,0.59
NN1,independent,7,1.27,1.11,5.59,0.69
NN1,independent,8,1.68,1.27,5.60,0.79
NN1,independent,9,2.26,1.48,5.87,0.87
NN1,independent,High(H),3.62,1.88,6.32,1.03
NN1,independent,H-L,6.06,2.13,3.60,2.05
NN1,dependent,Low(L),-2.21,-0.30,6.66,-0.16
NN1,dependent,2,-0.98,0.24,6.11,0.14
NN1,dependent,3,-0.39,0.39,5.94,0.23
NN1,dependent,4,0.05,0.57,5.66,0.35
NN1,dependent,5,0.45,0.81,5.67,0.49
NN1,dependent,6,0.82,0.95,5.64,0.58
NN1,dependent,7,1.22,1.15,5.69,0.70
NN1,dependent,8,1.67,1.30,5.68,0.79
NN1,dependent,9,2.27,1.43,5.84,0.85
NN1,dependent,High(H),3.58,1.86,6.30,1.02
NN1,dependent,H-L,5.80,2.16,2.87,2.61
NN2,univariate,Low(L),-2.35,-0.81,9.06,-0.31
NN2,univariate,2,-0.67,0.28,7.19,0.13
NN2,univariate,3,-0.03,0.57,6.08,0.33
NN2,univariate,4,0.34,0.73,5.30,0.48
NN2,univariate,5,0.63,0.90,4.93,0.63
NN2,univariate,6,0.89,1.02,4.81,0.73
NN2,univariate,7,1.15,1.07,4.90,0.76
NN2,univariate,8,1.47,1.26,5.21,0.84
NN2,univariate,9,1.92,1.49,5.67,0.91
NN2,univariate,High(H),3.18,1.90,6.90,0.95
NN2,univariate,H-L,5.53,2.71,4.77,1.97
NN2,independent,Low(L),-2.00,-0.52,7.71,-0.23
NN2,independent,2,-0.64,0.42,6.35,0.23
NN2,independent,3,-0.03,0.58,5.93,0.34
NN2,independent,4,0.34,0.74,5.65,0.45
NN2,independent,5,0.63,0.95,5.46,0.60
NN2,independent,6,0.89,1.05,5.37,0.68
NN2,independent,7,1.15,1.03,5.48,0.65
NN2,independent,8,1.47,1.25,5.57,0.78
NN2,independent,9,1.92,1.42,5.86,0.84
NN2,independent,High(H),3.09,1.84,6.47,0.98
NN2,independent,H-L,5.12,2.45,3.79,2.24
NN2,dependent,Low(L),-1.69,-0.24,6.68,-0.12
NN2,dependent,2,-0.65,0.18,6.19,0.10
NN2,dependent,3,-0.18,0.48,5.96,0.28
NN2,dependent,4,0.18,0.59,5.78,0.36
NN2,dependent,5,0.49,0.82,5.63,0.50
NN2,dependent,6,0.79,0.94,5.52,0.59
NN2,dependent,7,1.10,1.06,5.59,0.65
NN2,dependent,8,1.46,1.31,5.71,0.79
NN2,dependent,9,1.94,1.43,5.77,0.86
NN2,dependent,High(H),3.06,1.83,6.47,0.98
NN2,dependent,H-L,4.76,2.07,3.00,2.39
NN3,univariate,Low(L),-1.93,-0.67,9.04,-0.26
NN3,univariate,2,-0.44,0.31,7.35,0.15
NN3,univariate,3,0.13,0.62,6.13,0.35
NN3,univariate,4,0.46,0.75,5.38,0.48
NN3,univariate,5,0.70,0.85,4.98,0.59
NN3,univariate,6,0.91,0.97,4.80,0.70
NN3,univariate,7,1.12,1.10,4.89,0.78
NN3,univariate,8,1.36,1.27,5.17,0.85
NN3,univariate,9,1.70,1.42,5.63,0.87
NN3,univariate,High(H),2.63,1.78,6.77,0.91
NN3,univariate,H-L,4.56,2.45,4.88,1.74
NN3,independent,Low(L),-1.63,-0.48,7.73,-0.21
NN3,independent,2,-0.42,0.32,6.60,0.17
NN3,independent,3,0.13,0.63,5.84,0.37
NN3,independent,4,0.46,0.76,5.65,0.47
NN3,independent,5,0.70,0.80,5.53,0.50
NN3,independent,6,0.91,0.99,5.39,0.63
NN3,independent,7,1.12,1.10,5.57,0.68
NN3,independent,8,1.36,1.28,5.69,0.78
NN3,independent,9,1.70,1.36,5.80,0.82
NN3,independent,High(H),2.57,1.74,6.39,0.94
NN3,independent,H-L,4.22,2.29,4.07,1.95
NN3,dependent,Low(L),-1.33,-0.19,6.79,-0.10
NN3,dependent,2,-0.40,0.22,6.19,0.12
NN3,dependent,3,0.01,0.57,5.91,0.33
NN3,dependent,4,0.31,0.71,5.73,0.43
NN3,dependent,5,0.57,0.71,5.62,0.44
NN3,dependent,6,0.81,0.97,5.62,0.60
NN3,dependent,7,1.06,1.07,5.52,0.67
NN3,dependent,8,1.34,1.17,5.70,0.71
NN3,dependent,9,1.71,1.43,5.88,0.84
NN3,dependent,High(H),2.54,1.75,6.38,0.95
NN3,dependent,H-L,3.87,1.94,3.09,2.17
NN4,univariate,Low(L),-1.50,-0.61,8.98,-0.24
NN4,univariate,2,-0.34,0.31,7.24,0.15
NN4,univariate,3,0.14,0.60,6.13,0.34
NN4,univariate,4,0.43,0.74,5.37,0.48
NN4,univariate,5,0.64,0.88,5.01,0.61
NN4,univariate,6,0.83,0.98,4.96,0.68
NN4,univariate,7,1.02,1.16,4.98,0.81
NN4,univariate,8,1.23,1.20,5.24,0.80
NN4,univariate,9,1.55,1.45,5.66,0.89
NN4,univariate,High(H),2.38,1.71,6.59,0.90
NN4,univariate,H-L,3.88,2.32,4.96,1.62
NN4,independent,Low(L),-1.29,-0.37,7.74,-0.17
NN4,independent,2,-0.32,0.41,6.47,0.22
NN4,independent,3,0.14,0.64,5.87,0.38
NN4,independent,4,0.43,0.77,5.67,0.47
NN4,independent,5,0.64,0.93,5.68,0.57
NN4,independent,6,0.83,1.00,5.64,0.61
NN4,independent,7,1.02,1.19,5.55,0.75
NN4,independent,8,1.23,1.14,5.69,0.69
NN4,independent,9,1.55,1.38,5.91,0.81
NN4,independent,High(H),2.33,1.69,6.24,0.94
NN4,independent,H-L,3.63,2.15,4.09,1.82
NN4,dependent,Low(L),-1.01,-0.14,6.65,-0.07
NN4,dependent,2,-0.30,0.27,6.15,0.15
NN4,dependent,3,0.04,0.46,5.83,0.28
NN4,dependent,4,0.30,0.69,5.83,0.41
NN4,dependent,5,0.53,0.76,5.65,0.47
NN4,dependent,6,0.74,0.94,5.63,0.58
NN4,dependent,7,0.96,1.13,5.65,0.69
NN4,dependent,8,1.22,1.27,5.84,0.76
NN4,dependent,9,1.55,1.32,5.85,0.78
NN4,dependent,High(H),2.29,1.69,6.30,0.93
NN4,dependent,H-L,3.30,1.83,3.08,2.06
NN5,univariate,Low(L),-1.06,-0.64,8.90,-0.25
NN5,univariate,2,-0.15,0.33,7.25,0.16
NN5,univariate,3,0.21,0.61,6.24,0.34
NN5,univariate,4,0.44,0.81,5.53,0.51
NN5,univariate,5,0.61,0.99,5.24,0.66
NN5,univariate,6,0.76,0.99,5.03,0.68
NN5,univariate,7,0.91,1.10,5.04,0.76
NN5,univariate,8,1.09,1.17,5.23,0.77
NN5,univariate,9,1.32,1.36,5.33,0.88
NN5,univariate,High(H),1.85,1.69,6.35,0.92
NN5,univariate,H-L,2.91,2.33,5.04,1.60
NN5,independent,Low(L),-0.89,-0.27,7.77,-0.12
NN5,independent,2,-0.14,0.40,6.51,0.21
NN5,independent,3,0.21,0.63,5.90,0.37
NN5,independent,4,0.44,0.80,5.71,0.49
NN5,independent,5,0.61,1.03,5.67,0.63
NN5,independent,6,0.76,0.99,5.55,0.62
NN5,independent,7,0.91,1.04,5.62,0.64
NN5,independent,8,1.09,1.11,5.74,0.67
NN5,independent,9,1.32,1.35,5.66,0.83
NN5,independent,High(H),1.83,1.68,6.19,0.94
NN5,independent,H-L,2.73,1.99,4.10,1.68
NN5,dependent,Low(L),-0.70,-0.20,6.64,-0.11
NN5,dependent,2,-0.12,0.26,6.22,0.14
NN5,dependent,3,0.15,0.53,5.83,0.32
NN5,dependent,4,0.36,0.69,5.81,0.41
NN5,dependent,5,0.53,0.84,5.69,0.51
NN5,dependent,6,0.70,0.94,5.67,0.57
NN5,dependent,7,0.87,1.16,5.65,0.71
NN5,dependent,8,1.06,1.19,5.73,0.72
NN5,dependent,9,1.31,1.34,5.85,0.79
NN5,dependent,High(H),1.80,1.65,6.19,0.93
NN5,dependent,H-L,2.50,1.85,2.97,2.17
