model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.44,-0.36,9.14,-0.14
NN1,univariate,2,-0.92,0.19,6.58,0.10
NN1,univariate,3,-0.25,0.31,5.17,0.20
NN1,univariate,4,0.20,0.45,4.48,0.35
NN1,univariate,5,0.57,0.64,4.39,0.50
NN1,univariate,6,0.91,0.71,4.37,0.56
NN1,univariate,7,1.27,0.77,4.31,0.62
NN1,univariate,8,1.68,1.03,4.75,0.75
NN1,univariate,9,2.23,1.01,5.16,0.68
NN1,univariate,High(H),3.36,1.16,6.47,0.62
NN1,univariate,H-L,5.80,1.52,5.59,0.94
NN1,independent,Low(L),-2.32,-0.03,8.03,-0.01
NN1,independent,2,-0.94,0.23,6.68,0.12
NN1,independent,3,-0.26,0.42,6.11,0.24
NN1,independent,4,0.19,0.58,6.12,0.33
NN1,independent,5,0.57,0.74,5.89,0.44
NN1,independent,6,0.91,0.70,6.10,0.39
NN1,independent,7,1.27,0.80,5.56,0.50
NN1,independent,8,1.68,1.09,6.10,0.62
NN1,independent,9,2.25,1.04,6.01,0.60
NN1,independent,High(H),3.46,1.30,6.65,0.68
NN1,independent,H-L,5.79,1.33,3.88,1.19
NN1,dependent,Low(L),-2.09,-0.16,7.30,-0.07
NN1,dependent,2,-0.97,0.36,7.00,0.18
NN1,dependent,3,-0.39,0.34,6.28,0.19
NN1,dependent,4,0.05,0.52,6.08,0.29
NN1,dependent,5,0.45,0.60,6.17,0.33
NN1,dependent,6,0.82,0.64,6.01,0.37
NN1,dependent,7,1.22,0.80,5.82,0.47
NN1,dependent,8,1.67,0.95,5.86,0.56
NN1,dependent,9,2.25,1.02,6.07,0.58
NN1,dependent,High(H),3.43,1.25,6.61,0.65
NN1,dependent,H-L,5.52,1.41,3.28,1.48
NN2,univariate,Low(L),-2.05,-0.37,9.91,-0.13
NN2,univariate,2,-0.60,0.39,7.05,0.19
NN2,univariate,3,-0.02,0.35,5.34,0.23
NN2,univariate,4,0.35,0.52,4.44,0.41
NN2,univariate,5,0.63,0.65,4.42,0.51
NN2,univariate,6,0.89,0.76,4.45,0.59
NN2,univariate,7,1.15,0.79,4.24,0.65
NN2,univariate,8,1.46,0.78,4.73,0.57
NN2,univariate,9,1.89,0.98,5.24,0.65
NN2,univariate,High(H),2.88,1.08,7.02,0.53
NN2,univariate,H-L,4.92,1.45,6.28,0.80
NN2,independent,Low(L),-1.90,-0.41,8.20,-0.17
NN2,independent,2,-0.61,0.40,6.74,0.20
NN2,independent,3,-0.03,0.46,6.45,0.25
NN2,independent,4,0.34,0.59,5.92,0.35
NN2,independent,5,0.63,0.75,6.01,0.43
NN2,independent,6,0.89,0.81,5.89,0.48
NN2,independent,7,1.15,0.89,5.88,0.52
NN2,independent,8,1.46,0.94,5.83,0.56
NN2,independent,9,1.91,0.96,6.07,0.55
NN2,independent,High(H),2.97,1.26,7.10,0.62
NN2,independent,H-L,4.89,1.73,4.14,1.45
NN2,dependent,Low(L),-1.58,-0.08,7.47,-0.04
NN2,dependent,2,-0.64,0.18,6.76,0.09
NN2,dependent,3,-0.18,0.52,6.67,0.27
NN2,dependent,4,0.18,0.60,6.27,0.33
NN2,dependent,5,0.49,0.58,5.95,0.34
NN2,dependent,6,0.79,0.78,5.98,0.45
NN2,dependent,7,1.10,0.85,5.93,0.49
NN2,dependent,8,1.45,0.90,6.04,0.52
NN2,dependent,9,1.92,0.97,6.05,0.56
NN2,dependent,High(H),2.93,1.10,6.82,0.56
NN2,dependent,H-L,4.51,1.18,3.70,1.11
NN3,univariate,Low(L),-1.66,-0.17,9.83,-0.06
NN3,univariate,2,-0.39,0.17,7.31,0.08
NN3,univariate,3,0.14,0.38,5.50,0.24
NN3,univariate,4,0.47,0.44,4.72,0.32
NN3,univariate,5,0.70,0.77,4.32,0.62
NN3,univariate,6,0.91,0.66,4.28,0.53
NN3,univariate,7,1.11,0.79,4.28,0.64
NN3,univariate,8,1.35,0.88,4.69,0.65
NN3,univariate,9,1.68,0.86,5.37,0.56
NN3,univariate,High(H),2.42,1.21,6.84,0.61
NN3,univariate,H-L,4.08,1.39,6.22,0.77
NN3,independent,Low(L),-1.53,-0.34,8.14,-0.14
NN3,independent,2,-0.39,0.21,6.95,0.11
NN3,independent,3,0.14,0.44,6.24,0.24
NN3,independent,4,0.47,0.50,6.01,0.29
NN3,independent,5,0.70,0.66,6.08,0.38
NN3,independent,6,0.91,0.81,5.78,0.49
NN3,independent,7,1.11,0.88,5.82,0.52
NN3,independent,8,1.35,1.00,6.02,0.58
NN3,independent,9,1.69,0.91,6.12,0.51
NN3,independent,High(H),2.47,1.27,6.92,0.64
NN3,independent,H-L,4.02,1.65,4.46,1.28
NN3,dependent,Low(L),-1.22,-0.05,7.38,-0.03
NN3,dependent,2,-0.39,0.13,6.93,0.06
NN3,dependent,3,0.01,0.55,6.46,0.29
NN3,dependent,4,0.31,0.60,6.38,0.33
NN3,dependent,5,0.57,0.61,6.11,0.35
NN3,dependent,6,0.81,0.72,5.94,0.42
NN3,dependent,7,1.06,0.92,5.91,0.54
NN3,dependent,8,1.33,0.78,5.89,0.46
NN3,dependent,9,1.70,0.90,6.26,0.50
NN3,dependent,High(H),2.43,1.18,6.82,0.60
NN3,dependent,H-L,3.65,1.23,3.73,1.15
NN4,univariate,Low(L),-1.31,-0.26,10.06,-0.09
NN4,univariate,2,-0.30,0.31,7.81,0.14
NN4,univariate,3,0.16,0.35,5.71,0.21
NN4,univariate,4,0.43,0.41,4.57,0.31
NN4,univariate,5,0.64,0.57,4.29,0.46
NN4,univariate,6,0.83,0.75,4.42,0.59
NN4,univariate,7,1.01,0.65,4.28,0.53
NN4,univariate,8,1.23,1.04,4.54,0.79
NN4,univariate,9,1.53,1.05,5.19,0.70
NN4,univariate,High(H),2.19,1.00,6.25,0.56
NN4,univariate,H-L,3.49,1.26,6.60,0.66
NN4,independent,Low(L),-1.21,-0.32,8.09,-0.14
NN4,independent,2,-0.30,0.37,6.96,0.18
NN4,independent,3,0.15,0.43,6.23,0.24
NN4,independent,4,0.43,0.60,5.93,0.35
NN4,independent,5,0.64,0.62,6.04,0.36
NN4,independent,6,0.83,0.72,5.89,0.42
NN4,independent,7,1.01,0.90,5.88,0.53
NN4,independent,8,1.23,0.89,5.77,0.53
NN4,independent,9,1.54,0.98,6.09,0.56
NN4,independent,High(H),2.23,1.12,6.75,0.57
NN4,independent,H-L,3.46,1.50,4.48,1.16
NN4,dependent,Low(L),-0.92,-0.05,7.30,-0.02
NN4,dependent,2,-0.29,0.22,6.81,0.11
NN4,dependent,3,0.05,0.42,6.47,0.22
NN4,dependent,4,0.30,0.58,6.38,0.31
NN4,dependent,5,0.53,0.65,6.18,0.37
NN4,dependent,6,0.74,0.67,6.05,0.38
NN4,dependent,7,0.96,0.88,5.90,0.52
NN4,dependent,8,1.21,0.90,6.04,0.51
NN4,dependent,9,1.54,0.92,6.02,0.53
NN4,dependent,High(H),2.20,1.04,6.70,0.54
NN4,dependent,H-L,3.12,1.09,3.80,1.00
NN5,univariate,Low(L),-0.89,-0.22,9.55,-0.08
NN5,univariate,2,-0.12,0.37,7.59,0.17
NN5,univariate,3,0.22,0.18,5.73,0.11
NN5,univariate,4,0.44,0.52,4.93,0.37
NN5,univariate,5,0.61,0.62,4.56,0.47
NN5,univariate,6,0.76,0.65,4.37,0.51
NN5,univariate,7,0.91,0.80,4.16,0.67
NN5,univariate,8,1.08,0.74,4.39,0.58
NN5,univariate,9,1.31,0.93,5.00,0.64
NN5,univariate,High(H),1.74,1.12,5.92,0.65
NN5,univariate,H-L,2.63,1.34,6.63,0.70
NN5,independent,Low(L),-0.83,-0.05,8.30,-0.02
NN5,independent,2,-0.13,0.34,6.99,0.17
NN5,independent,3,0.22,0.39,6.12,0.22
NN5,independent,4,0.44,0.51,6.04,0.29
NN5,independent,5,0.61,0.61,6.11,0.34
NN5,independent,6,0.76,0.80,5.93,0.47
NN5,independent,7,0.91,0.82,5.79,0.49
NN5,independent,8,1.09,0.77,5.86,0.46
NN5,independent,9,1.31,0.96,6.05,0.55
NN5,independent,High(H),1.78,1.19,6.55,0.63
NN5,independent,H-L,2.61,1.22,4.57,0.92
NN5,dependent,Low(L),-0.63,-0.02,7.14,-0.01
NN5,dependent,2,-0.11,0.09,7.00,0.05
NN5,dependent,3,0.15,0.47,6.44,0.25
NN5,dependent,4,0.36,0.55,6.31,0.30
NN5,dependent,5,0.53,0.73,6.27,0.40
NN5,dependent,6,0.70,0.70,6.06,0.40
NN5,dependent,7,0.87,0.84,6.04,0.48
NN5,dependent,8,1.06,0.74,5.90,0.44
NN5,dependent,9,1.30,0.98,6.08,0.56
NN5,dependent,High(H),1.75,1.05,6.44,0.57
NN5,dependent,H-L,2.38,1.07,3.56,1.04
